staging_record_id,ucr_id,source_system,source_record_id,deterministic_cluster_id,probabilistic_cluster_id,resolution_status,match_method,cluster_size,deterministic_cluster_count,cluster_confidence,cluster_confidence_type,deterministic_linking_rules
STG002692,UCR002692,CRM,CRM002692,DCL002692,PCL002692,unresolved_singleton,Unresolved,1,1,,,
STG002694,UCR002694,CRM,CRM002694,DCL002694,PCL002694,unresolved_singleton,Unresolved,1,1,,,
STG002761,UCR002761,CRM,CRM002761,DCL002761,PCL002761,unresolved_singleton,Unresolved,1,1,,,
STG002832,UCR002832,CRM,CRM002832,DCL002832,PCL002832,unresolved_singleton,Unresolved,1,1,,,
STG002859,UCR002859,CRM,CRM002859,DCL002859,PCL002859,unresolved_singleton,Unresolved,1,1,,,
STG003021,UCR003021,CRM,CRM003021,DCL003021,PCL003021,unresolved_singleton,Unresolved,1,1,,,
STG003046,UCR003046,CRM,CRM003046,DCL003046,PCL003046,unresolved_singleton,Unresolved,1,1,,,
STG003077,UCR003077,CRM,CRM003077,DCL003077,PCL003077,unresolved_singleton,Unresolved,1,1,,,
STG003111,UCR003111,CRM,CRM003111,DCL003111,PCL003111,unresolved_singleton,Unresolved,1,1,,,
STG003115,UCR003115,CRM,CRM003115,DCL003115,PCL003115,unresolved_singleton,Unresolved,1,1,,,
STG003119,UCR003119,CRM,CRM003119,DCL003119,PCL003119,unresolved_singleton,Unresolved,1,1,,,
STG003247,UCR003247,CRM,CRM003247,DCL003247,PCL003247,unresolved_singleton,Unresolved,1,1,,,
STG003272,UCR003272,CRM,CRM003272,DCL003272,PCL003272,unresolved_singleton,Unresolved,1,1,,,
STG003285,UCR003285,CRM,CRM003285,DCL003285,PCL003285,unresolved_singleton,Unresolved,1,1,,,
STG003385,UCR003385,CRM,CRM003385,DCL003385,PCL003385,unresolved_singleton,Unresolved,1,1,,,
STG003406,UCR003406,CRM,CRM003406,DCL003406,PCL003406,unresolved_singleton,Unresolved,1,1,,,
STG003415,UCR003415,CRM,CRM003415,DCL003415,PCL003415,unresolved_singleton,Unresolved,1,1,,,
STG003607,UCR003607,CRM,CRM003607,DCL003607,PCL003607,unresolved_singleton,Unresolved,1,1,,,
STG003702,UCR003702,CRM,CRM003702,DCL003702,PCL003702,unresolved_singleton,Unresolved,1,1,,,
STG003709,UCR003709,CRM,CRM003709,DCL003709,PCL003709,unresolved_singleton,Unresolved,1,1,,,
STG003755,UCR003755,CRM,CRM003755,DCL003755,PCL003755,unresolved_singleton,Unresolved,1,1,,,
STG003787,UCR003787,CRM,CRM003787,DCL003787,PCL003787,unresolved_singleton,Unresolved,1,1,,,
STG003868,UCR003868,CRM,CRM003868,DCL003868,PCL003868,unresolved_singleton,Unresolved,1,1,,,
STG003890,UCR003890,CRM,CRM003890,DCL003890,PCL003890,unresolved_singleton,Unresolved,1,1,,,
STG003954,UCR003954,CRM,CRM003954,DCL003954,PCL003954,unresolved_singleton,Unresolved,1,1,,,
STG003963,UCR003963,CRM,CRM003963,DCL003963,PCL003963,unresolved_singleton,Unresolved,1,1,,,
STG003975,UCR003975,CRM,CRM003975,DCL003975,PCL003975,unresolved_singleton,Unresolved,1,1,,,
STG004089,UCR004089,CRM,CRM004089,DCL004089,PCL004089,unresolved_singleton,Unresolved,1,1,,,
STG004102,UCR004102,CRM,CRM004102,DCL004102,PCL004102,unresolved_singleton,Unresolved,1,1,,,
STG004124,UCR004124,CRM,CRM004124,DCL004124,PCL004124,unresolved_singleton,Unresolved,1,1,,,
STG004149,UCR004149,CRM,CRM004149,DCL004149,PCL004149,unresolved_singleton,Unresolved,1,1,,,
STG004185,UCR004185,CRM,CRM004185,DCL004185,PCL004185,unresolved_singleton,Unresolved,1,1,,,
STG004240,UCR004240,CRM,CRM004240,DCL004240,PCL004240,unresolved_singleton,Unresolved,1,1,,,
STG004337,UCR004337,CRM,CRM004337,DCL004337,PCL004337,unresolved_singleton,Unresolved,1,1,,,
STG004342,UCR004342,CRM,CRM004342,DCL004342,PCL004342,unresolved_singleton,Unresolved,1,1,,,
STG004439,UCR004439,CRM,CRM004439,DCL004439,PCL004439,unresolved_singleton,Unresolved,1,1,,,
STG004567,UCR004567,CRM,CRM004567,DCL004567,PCL004567,unresolved_singleton,Unresolved,1,1,,,
STG004655,UCR004655,CRM,CRM004655,DCL004655,PCL004655,unresolved_singleton,Unresolved,1,1,,,
STG004708,UCR004708,CRM,CRM004708,DCL004708,PCL004708,unresolved_singleton,Unresolved,1,1,,,
STG004773,UCR004773,CRM,CRM004773,DCL004773,PCL004773,unresolved_singleton,Unresolved,1,1,,,
STG004901,UCR004901,CRM,CRM004901,DCL004901,PCL004901,unresolved_singleton,Unresolved,1,1,,,
STG004902,UCR004902,CRM,CRM004902,DCL004902,PCL004902,unresolved_singleton,Unresolved,1,1,,,
STG004933,UCR004933,CRM,CRM004933,DCL004933,PCL004933,unresolved_singleton,Unresolved,1,1,,,
STG004958,UCR004958,CRM,CRM004958,DCL004958,PCL004958,unresolved_singleton,Unresolved,1,1,,,
STG005000,UCR005000,CRM,CRM005000,DCL005000,PCL005000,unresolved_singleton,Unresolved,1,1,,,
STG005008,UCR005008,CRM,CRM005008,DCL005008,PCL005008,unresolved_singleton,Unresolved,1,1,,,
STG005168,UCR005168,CRM,CRM005168,DCL005168,PCL005168,unresolved_singleton,Unresolved,1,1,,,
STG005169,UCR005169,CRM,CRM005169,DCL005169,PCL005169,unresolved_singleton,Unresolved,1,1,,,
STG005236,UCR005236,CRM,CRM005236,DCL005236,PCL005236,unresolved_singleton,Unresolved,1,1,,,
STG005239,UCR005239,CRM,CRM005239,DCL005239,PCL005239,unresolved_singleton,Unresolved,1,1,,,
STG005301,UCR005301,CRM,CRM005301,DCL005301,PCL005301,unresolved_singleton,Unresolved,1,1,,,
STG005315,UCR005315,CRM,CRM005315,DCL005315,PCL005315,unresolved_singleton,Unresolved,1,1,,,
STG005346,UCR005346,CRM,CRM005346,DCL005346,PCL005346,unresolved_singleton,Unresolved,1,1,,,
STG005353,UCR005353,CRM,CRM005353,DCL005353,PCL005353,unresolved_singleton,Unresolved,1,1,,,
STG005369,UCR005369,CRM,CRM005369,DCL005369,PCL005369,unresolved_singleton,Unresolved,1,1,,,
STG005386,UCR005386,CRM,CRM005386,DCL005386,PCL005386,unresolved_singleton,Unresolved,1,1,,,
STG005421,UCR005421,CRM,CRM005421,DCL005421,PCL005421,unresolved_singleton,Unresolved,1,1,,,
STG005428,UCR005428,CRM,CRM005428,DCL005428,PCL005428,unresolved_singleton,Unresolved,1,1,,,
STG005440,UCR005440,CRM,CRM005440,DCL005440,PCL005440,unresolved_singleton,Unresolved,1,1,,,
STG005488,UCR005488,CRM,CRM005488,DCL005488,PCL005488,unresolved_singleton,Unresolved,1,1,,,
STG005587,UCR005587,CRM,CRM005587,DCL005587,PCL005587,unresolved_singleton,Unresolved,1,1,,,
STG005628,UCR005628,CRM,CRM005628,DCL005628,PCL005628,unresolved_singleton,Unresolved,1,1,,,
STG005683,UCR005683,CRM,CRM005683,DCL005683,PCL005683,unresolved_singleton,Unresolved,1,1,,,
STG005714,UCR005714,CRM,CRM005714,DCL005714,PCL005714,unresolved_singleton,Unresolved,1,1,,,
STG005727,UCR005727,CRM,CRM005727,DCL005727,PCL005727,unresolved_singleton,Unresolved,1,1,,,
STG005861,UCR005861,CRM,CRM005861,DCL005861,PCL005861,unresolved_singleton,Unresolved,1,1,,,
STG005952,UCR005952,CRM,CRM005952,DCL005952,PCL005952,unresolved_singleton,Unresolved,1,1,,,
STG005972,UCR005972,CRM,CRM005972,DCL005972,PCL005972,unresolved_singleton,Unresolved,1,1,,,
STG006014,UCR006014,CRM,CRM006014,DCL006014,PCL006014,unresolved_singleton,Unresolved,1,1,,,
STG006032,UCR006032,CRM,CRM006032,DCL006032,PCL006032,unresolved_singleton,Unresolved,1,1,,,
STG006073,UCR006073,CRM,CRM006073,DCL006073,PCL006073,unresolved_singleton,Unresolved,1,1,,,
STG006155,UCR006155,CRM,CRM006155,DCL006155,PCL006155,unresolved_singleton,Unresolved,1,1,,,
STG006194,UCR006194,CRM,CRM006194,DCL006194,PCL006194,unresolved_singleton,Unresolved,1,1,,,
STG006251,UCR006251,CRM,CRM006251,DCL006251,PCL006251,unresolved_singleton,Unresolved,1,1,,,
STG006373,UCR006373,CRM,CRM006373,DCL006373,PCL006373,unresolved_singleton,Unresolved,1,1,,,
STG006416,UCR006416,CRM,CRM006416,DCL006416,PCL006416,unresolved_singleton,Unresolved,1,1,,,
STG006501,UCR006501,CRM,CRM006501,DCL006501,PCL006501,unresolved_singleton,Unresolved,1,1,,,
STG006505,UCR006505,CRM,CRM006505,DCL006505,PCL006505,unresolved_singleton,Unresolved,1,1,,,
STG006531,UCR006531,CRM,CRM006531,DCL006531,PCL006531,unresolved_singleton,Unresolved,1,1,,,
STG006625,UCR006625,CRM,CRM006625,DCL006625,PCL006625,unresolved_singleton,Unresolved,1,1,,,
STG006645,UCR006645,CRM,CRM006645,DCL006645,PCL006645,unresolved_singleton,Unresolved,1,1,,,
STG006657,UCR006657,CRM,CRM006657,DCL006657,PCL006657,unresolved_singleton,Unresolved,1,1,,,
STG006671,UCR006671,CRM,CRM006671,DCL006671,PCL006671,unresolved_singleton,Unresolved,1,1,,,
STG006760,UCR006760,CRM,CRM006760,DCL006760,PCL006760,unresolved_singleton,Unresolved,1,1,,,
STG006763,UCR006763,CRM,CRM006763,DCL006763,PCL006763,unresolved_singleton,Unresolved,1,1,,,
STG006783,UCR006783,CRM,CRM006783,DCL006783,PCL006783,unresolved_singleton,Unresolved,1,1,,,
STG006804,UCR006804,CRM,CRM006804,DCL006804,PCL006804,unresolved_singleton,Unresolved,1,1,,,
STG006812,UCR006812,CRM,CRM006812,DCL006812,PCL006812,unresolved_singleton,Unresolved,1,1,,,
STG006824,UCR006824,CRM,CRM006824,DCL006824,PCL006824,unresolved_singleton,Unresolved,1,1,,,
STG006854,UCR006854,CRM,CRM006854,DCL006854,PCL006854,unresolved_singleton,Unresolved,1,1,,,
STG006895,UCR006895,CRM,CRM006895,DCL006895,PCL006895,unresolved_singleton,Unresolved,1,1,,,
STG006910,UCR006910,CRM,CRM006910,DCL006910,PCL006910,unresolved_singleton,Unresolved,1,1,,,
STG006940,UCR006940,CRM,CRM006940,DCL006940,PCL006940,unresolved_singleton,Unresolved,1,1,,,
STG006974,UCR006974,CRM,CRM006974,DCL006974,PCL006974,unresolved_singleton,Unresolved,1,1,,,
STG007169,UCR007169,CRM,CRM007169,DCL007169,PCL007169,unresolved_singleton,Unresolved,1,1,,,
STG007242,UCR007242,CRM,CRM007242,DCL007242,PCL007242,unresolved_singleton,Unresolved,1,1,,,
STG007313,UCR007313,CRM,CRM007313,DCL007313,PCL007313,unresolved_singleton,Unresolved,1,1,,,
STG007375,UCR007375,CRM,CRM007375,DCL007375,PCL007375,unresolved_singleton,Unresolved,1,1,,,
STG007498,UCR007498,CRM,CRM007498,DCL007498,PCL007498,unresolved_singleton,Unresolved,1,1,,,
STG007501,UCR007501,CRM,CRM007501,DCL007501,PCL007501,unresolved_singleton,Unresolved,1,1,,,
STG007524,UCR007524,CRM,CRM007524,DCL007524,PCL007524,unresolved_singleton,Unresolved,1,1,,,
STG007545,UCR007545,CRM,CRM007545,DCL007545,PCL007545,unresolved_singleton,Unresolved,1,1,,,
STG007583,UCR007583,CRM,CRM007583,DCL007583,PCL007583,unresolved_singleton,Unresolved,1,1,,,
STG007605,UCR007605,CRM,CRM007605,DCL007605,PCL007605,unresolved_singleton,Unresolved,1,1,,,
STG007613,UCR007613,CRM,CRM007613,DCL007613,PCL007613,unresolved_singleton,Unresolved,1,1,,,
STG007624,UCR007624,CRM,CRM007624,DCL007624,PCL007624,unresolved_singleton,Unresolved,1,1,,,
STG007654,UCR007654,CRM,CRM007654,DCL007654,PCL007654,unresolved_singleton,Unresolved,1,1,,,
STG007685,UCR007685,CRM,CRM007685,DCL007685,PCL007685,unresolved_singleton,Unresolved,1,1,,,
STG007716,UCR007716,CRM,CRM007716,DCL007716,PCL007716,unresolved_singleton,Unresolved,1,1,,,
STG007737,UCR007737,CRM,CRM007737,DCL007737,PCL007737,unresolved_singleton,Unresolved,1,1,,,
STG008032,UCR007810,ECOMMERCE,TXN000032,DCL007810,PCL007810,unresolved_singleton,Unresolved,1,1,,,
STG008047,UCR007813,ECOMMERCE,TXN000047,DCL007813,PCL007813,unresolved_singleton,Unresolved,1,1,,,
STG008300,UCR007857,ECOMMERCE,TXN000300,DCL007859,PCL007857,unresolved_singleton,Unresolved,1,1,,,
STG008310,UCR007858,ECOMMERCE,TXN000310,DCL007860,PCL007858,unresolved_singleton,Unresolved,1,1,,,
STG008532,UCR007891,ECOMMERCE,TXN000532,DCL007893,PCL007891,unresolved_singleton,Unresolved,1,1,,,
STG008666,UCR007915,ECOMMERCE,TXN000666,DCL007919,PCL007915,unresolved_singleton,Unresolved,1,1,,,
STG008751,UCR007925,ECOMMERCE,TXN000751,DCL007929,PCL007925,unresolved_singleton,Unresolved,1,1,,,
STG008776,UCR007930,ECOMMERCE,TXN000776,DCL007934,PCL007930,unresolved_singleton,Unresolved,1,1,,,
STG008778,UCR007931,ECOMMERCE,TXN000778,DCL007935,PCL007931,unresolved_singleton,Unresolved,1,1,,,
STG008784,UCR007932,ECOMMERCE,TXN000784,DCL007936,PCL007932,unresolved_singleton,Unresolved,1,1,,,
STG008998,UCR007962,ECOMMERCE,TXN000998,DCL007966,PCL007962,unresolved_singleton,Unresolved,1,1,,,
STG009367,UCR008021,ECOMMERCE,TXN001367,DCL008025,PCL008021,unresolved_singleton,Unresolved,1,1,,,
STG009530,UCR008045,ECOMMERCE,TXN001530,DCL008049,PCL008045,unresolved_singleton,Unresolved,1,1,,,
STG009625,UCR008058,ECOMMERCE,TXN001625,DCL008062,PCL008058,unresolved_singleton,Unresolved,1,1,,,
STG010101,UCR008119,ECOMMERCE,TXN002101,DCL008126,PCL008119,unresolved_singleton,Unresolved,1,1,,,
STG010331,UCR008155,ECOMMERCE,TXN002331,DCL008162,PCL008155,unresolved_singleton,Unresolved,1,1,,,
STG010733,UCR008204,ECOMMERCE,TXN002733,DCL008212,PCL008204,unresolved_singleton,Unresolved,1,1,,,
STG010741,UCR008205,ECOMMERCE,TXN002741,DCL008213,PCL008205,unresolved_singleton,Unresolved,1,1,,,
STG010825,UCR008218,ECOMMERCE,TXN002825,DCL008226,PCL008218,unresolved_singleton,Unresolved,1,1,,,
STG010844,UCR008219,ECOMMERCE,TXN002844,DCL008227,PCL008219,unresolved_singleton,Unresolved,1,1,,,
STG010850,UCR008220,ECOMMERCE,TXN002850,DCL008228,PCL008220,unresolved_singleton,Unresolved,1,1,,,
STG011004,UCR008243,ECOMMERCE,TXN003004,DCL008251,PCL008243,unresolved_singleton,Unresolved,1,1,,,
STG011159,UCR008261,ECOMMERCE,TXN003159,DCL008270,PCL008261,unresolved_singleton,Unresolved,1,1,,,
STG011184,UCR008267,ECOMMERCE,TXN003184,DCL008276,PCL008267,unresolved_singleton,Unresolved,1,1,,,
STG011602,UCR008322,ECOMMERCE,TXN003602,DCL008331,PCL008322,unresolved_singleton,Unresolved,1,1,,,
STG011615,UCR008325,ECOMMERCE,TXN003615,DCL008334,PCL008325,unresolved_singleton,Unresolved,1,1,,,
STG011624,UCR008327,ECOMMERCE,TXN003624,DCL008336,PCL008327,unresolved_singleton,Unresolved,1,1,,,
STG011647,UCR008329,ECOMMERCE,TXN003647,DCL008338,PCL008329,unresolved_singleton,Unresolved,1,1,,,
STG011794,UCR008348,ECOMMERCE,TXN003794,DCL008357,PCL008348,unresolved_singleton,Unresolved,1,1,,,
STG012059,UCR008378,ECOMMERCE,TXN004059,DCL008389,PCL008378,unresolved_singleton,Unresolved,1,1,,,
STG012195,UCR008392,ECOMMERCE,TXN004195,DCL008403,PCL008392,unresolved_singleton,Unresolved,1,1,,,
STG012388,UCR008421,ECOMMERCE,TXN004388,DCL008432,PCL008421,unresolved_singleton,Unresolved,1,1,,,
STG012443,UCR008426,ECOMMERCE,TXN004443,DCL008437,PCL008426,unresolved_singleton,Unresolved,1,1,,,
STG012444,UCR008427,ECOMMERCE,TXN004444,DCL008438,PCL008427,unresolved_singleton,Unresolved,1,1,,,
STG012752,UCR008469,ECOMMERCE,TXN004752,DCL008483,PCL008469,unresolved_singleton,Unresolved,1,1,,,
STG012771,UCR008473,ECOMMERCE,TXN004771,DCL008488,PCL008473,unresolved_singleton,Unresolved,1,1,,,
STG012959,UCR008496,ECOMMERCE,TXN004959,DCL008511,PCL008496,unresolved_singleton,Unresolved,1,1,,,
STG013069,UCR008506,ECOMMERCE,TXN005069,DCL008521,PCL008506,unresolved_singleton,Unresolved,1,1,,,
STG013079,UCR008508,ECOMMERCE,TXN005079,DCL008523,PCL008508,unresolved_singleton,Unresolved,1,1,,,
STG013094,UCR008511,ECOMMERCE,TXN005094,DCL008526,PCL008511,unresolved_singleton,Unresolved,1,1,,,
STG013226,UCR008524,ECOMMERCE,TXN005226,DCL008539,PCL008524,unresolved_singleton,Unresolved,1,1,,,
STG013306,UCR008534,ECOMMERCE,TXN005306,DCL008549,PCL008534,unresolved_singleton,Unresolved,1,1,,,
STG013470,UCR008546,ECOMMERCE,TXN005470,DCL008561,PCL008546,unresolved_singleton,Unresolved,1,1,,,
STG013655,UCR008566,ECOMMERCE,TXN005655,DCL008582,PCL008566,unresolved_singleton,Unresolved,1,1,,,
STG013731,UCR008576,ECOMMERCE,TXN005731,DCL008593,PCL008576,unresolved_singleton,Unresolved,1,1,,,
STG013901,UCR008594,ECOMMERCE,TXN005901,DCL008611,PCL008594,unresolved_singleton,Unresolved,1,1,,,
STG014199,UCR008620,ECOMMERCE,TXN006199,DCL008641,PCL008620,unresolved_singleton,Unresolved,1,1,,,
STG014253,UCR008624,ECOMMERCE,TXN006253,DCL008645,PCL008624,unresolved_singleton,Unresolved,1,1,,,
STG014290,UCR008629,ECOMMERCE,TXN006290,DCL008650,PCL008629,unresolved_singleton,Unresolved,1,1,,,
STG014582,UCR008655,ECOMMERCE,TXN006582,DCL008677,PCL008655,unresolved_singleton,Unresolved,1,1,,,
STG014634,UCR008660,ECOMMERCE,TXN006634,DCL008683,PCL008660,unresolved_singleton,Unresolved,1,1,,,
STG014663,UCR008662,ECOMMERCE,TXN006663,DCL008685,PCL008662,unresolved_singleton,Unresolved,1,1,,,
STG014779,UCR008677,ECOMMERCE,TXN006779,DCL008700,PCL008677,unresolved_singleton,Unresolved,1,1,,,
STG014813,UCR008680,ECOMMERCE,TXN006813,DCL008703,PCL008680,unresolved_singleton,Unresolved,1,1,,,
STG015009,UCR008704,ECOMMERCE,TXN007009,DCL008727,PCL008704,unresolved_singleton,Unresolved,1,1,,,
STG015136,UCR008716,ECOMMERCE,TXN007136,DCL008740,PCL008716,unresolved_singleton,Unresolved,1,1,,,
STG015272,UCR008729,ECOMMERCE,TXN007272,DCL008754,PCL008729,unresolved_singleton,Unresolved,1,1,,,
STG015301,UCR008732,ECOMMERCE,TXN007301,DCL008757,PCL008732,unresolved_singleton,Unresolved,1,1,,,
STG015397,UCR008748,ECOMMERCE,TXN007397,DCL008773,PCL008748,unresolved_singleton,Unresolved,1,1,,,
STG015442,UCR008752,ECOMMERCE,TXN007442,DCL008777,PCL008752,unresolved_singleton,Unresolved,1,1,,,
STG015533,UCR008760,ECOMMERCE,TXN007533,DCL008785,PCL008760,unresolved_singleton,Unresolved,1,1,,,
STG015538,UCR008762,ECOMMERCE,TXN007538,DCL008787,PCL008762,unresolved_singleton,Unresolved,1,1,,,
STG015620,UCR008772,ECOMMERCE,TXN007620,DCL008797,PCL008772,unresolved_singleton,Unresolved,1,1,,,
STG015752,UCR008789,ECOMMERCE,TXN007752,DCL008815,PCL008789,unresolved_singleton,Unresolved,1,1,,,
STG015771,UCR008793,ECOMMERCE,TXN007771,DCL008819,PCL008793,unresolved_singleton,Unresolved,1,1,,,
STG015905,UCR008805,ECOMMERCE,TXN007905,DCL008831,PCL008805,unresolved_singleton,Unresolved,1,1,,,
STG015932,UCR008809,ECOMMERCE,TXN007932,DCL008835,PCL008809,unresolved_singleton,Unresolved,1,1,,,
STG016121,UCR008828,ECOMMERCE,TXN008121,DCL008855,PCL008828,unresolved_singleton,Unresolved,1,1,,,
STG016516,UCR008865,ECOMMERCE,TXN008516,DCL008893,PCL008865,unresolved_singleton,Unresolved,1,1,,,
STG016534,UCR008868,ECOMMERCE,TXN008534,DCL008896,PCL008868,unresolved_singleton,Unresolved,1,1,,,
STG016615,UCR008872,ECOMMERCE,TXN008615,DCL008900,PCL008872,unresolved_singleton,Unresolved,1,1,,,
STG016643,UCR008877,ECOMMERCE,TXN008643,DCL008905,PCL008877,unresolved_singleton,Unresolved,1,1,,,
STG016645,UCR008879,ECOMMERCE,TXN008645,DCL008907,PCL008879,unresolved_singleton,Unresolved,1,1,,,
STG016743,UCR008889,ECOMMERCE,TXN008743,DCL008917,PCL008889,unresolved_singleton,Unresolved,1,1,,,
STG016806,UCR008894,ECOMMERCE,TXN008806,DCL008922,PCL008894,unresolved_singleton,Unresolved,1,1,,,
STG016913,UCR008904,ECOMMERCE,TXN008913,DCL008933,PCL008904,unresolved_singleton,Unresolved,1,1,,,
STG017058,UCR008916,ECOMMERCE,TXN009058,DCL008945,PCL008916,unresolved_singleton,Unresolved,1,1,,,
STG017204,UCR008930,ECOMMERCE,TXN009204,DCL008960,PCL008930,unresolved_singleton,Unresolved,1,1,,,
