ucr_id,probabilistic_cluster_id,minimum_staging_record_id,resolution_status,match_method,cluster_size,deterministic_cluster_count,deterministic_cluster_ids,source_system_count,source_systems,cluster_confidence,cluster_confidence_type,deterministic_linking_rules
UCR000090,PCL000090,STG000090,deterministically_linked,Deterministic,10,1,DCL000090,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03 | D06
UCR000091,PCL000091,STG000091,deterministically_linked,Deterministic,6,1,DCL000091,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000092,PCL000092,STG000092,deterministically_linked,Deterministic,8,1,DCL000092,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D04
UCR000093,PCL000093,STG000093,deterministically_linked,Deterministic,2,1,DCL000093,2,CRM | ECOMMERCE,1.0,Exact deterministic-rule confidence,D02
UCR000094,PCL000094,STG000094,deterministically_linked,Deterministic,6,1,DCL000094,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000095,PCL000095,STG000095,deterministically_linked,Deterministic,2,1,DCL000095,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000096,PCL000096,STG000096,deterministically_linked,Deterministic,12,1,DCL000096,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000097,PCL000097,STG000097,deterministically_linked,Deterministic,9,1,DCL000097,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000098,PCL000098,STG000098,deterministically_linked,Deterministic,6,1,DCL000098,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02
UCR000099,PCL000099,STG000099,deterministically_linked,Deterministic,2,1,DCL000099,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000100,PCL000100,STG000100,deterministically_linked,Deterministic,3,1,DCL000100,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000101,PCL000101,STG000101,deterministically_linked,Deterministic,7,1,DCL000101,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D08
UCR000102,PCL000102,STG000102,deterministically_linked,Deterministic,12,1,DCL000102,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000103,PCL000103,STG000103,deterministically_linked,Deterministic,6,1,DCL000103,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D06
UCR000104,PCL000104,STG000104,deterministically_linked,Deterministic,5,1,DCL000104,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000105,PCL000105,STG000105,deterministically_linked,Deterministic,3,1,DCL000105,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000106,PCL000106,STG000106,deterministically_linked,Deterministic,5,1,DCL000106,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000107,PCL000107,STG000107,deterministically_linked,Deterministic,8,1,DCL000107,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03 | D06
UCR000108,PCL000108,STG000108,deterministically_linked,Deterministic,12,1,DCL000108,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000109,PCL000109,STG000109,deterministically_linked,Deterministic,2,1,DCL000109,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000110,PCL000110,STG000110,deterministically_linked,Deterministic,4,1,DCL000110,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000111,PCL000111,STG000111,deterministically_linked,Deterministic,5,1,DCL000111,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000112,PCL000112,STG000112,deterministically_linked,Deterministic,5,1,DCL000112,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000113,PCL000113,STG000113,deterministically_linked,Deterministic,7,1,DCL000113,3,CRM | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03 | D05
UCR000114,PCL000114,STG000114,deterministically_linked,Deterministic,8,1,DCL000114,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03 | D06
UCR000115,PCL000115,STG000115,deterministically_linked,Deterministic,6,1,DCL000115,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02
UCR000116,PCL000116,STG000116,deterministically_linked,Deterministic,11,1,DCL000116,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D05 | D08
UCR000117,PCL000117,STG000117,deterministically_linked,Deterministic,2,1,DCL000117,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000118,PCL000118,STG000118,deterministically_linked,Deterministic,7,1,DCL000118,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03 | D08
UCR000119,PCL000119,STG000119,deterministically_linked,Deterministic,10,1,DCL000119,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02
UCR000120,PCL000120,STG000120,deterministically_linked,Deterministic,13,1,DCL000120,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D08
UCR000121,PCL000121,STG000121,deterministically_linked,Deterministic,9,1,DCL000121,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000122,PCL000122,STG000122,deterministically_linked,Deterministic,5,1,DCL000122,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000123,PCL000123,STG000123,deterministically_linked,Deterministic,9,1,DCL000123,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000124,PCL000124,STG000124,deterministically_linked,Deterministic,5,1,DCL000124,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03 | D06
UCR000125,PCL000125,STG000125,deterministically_linked,Deterministic,7,1,DCL000125,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D04 | D06
UCR000126,PCL000126,STG000126,deterministically_linked,Deterministic,10,1,DCL000126,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D06
UCR000127,PCL000127,STG000127,deterministically_linked,Deterministic,12,1,DCL000127,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D05
UCR000128,PCL000128,STG000128,deterministically_linked,Deterministic,4,1,DCL000128,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000129,PCL000129,STG000129,deterministically_linked,Deterministic,9,1,DCL000129,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000130,PCL000130,STG000130,deterministically_linked,Deterministic,2,1,DCL000130,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000131,PCL000131,STG000131,deterministically_linked,Deterministic,6,1,DCL000131,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000132,PCL000132,STG000132,deterministically_linked,Deterministic,5,1,DCL000132,3,CRM | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000133,PCL000133,STG000133,deterministically_linked,Deterministic,8,1,DCL000133,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02
UCR000134,PCL000134,STG000134,deterministically_linked,Deterministic,9,1,DCL000134,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000135,PCL000135,STG000135,deterministically_linked,Deterministic,5,1,DCL000135,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D05
UCR000136,PCL000136,STG000136,deterministically_linked,Deterministic,5,1,DCL000136,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03 | D04
UCR000137,PCL000137,STG000137,deterministically_linked,Deterministic,8,1,DCL000137,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03 | D05 | D07
UCR000138,PCL000138,STG000138,deterministically_linked,Deterministic,3,1,DCL000138,2,CRM | ONLINE,1.0,Exact deterministic-rule confidence,D02
UCR000139,PCL000139,STG000139,deterministically_linked,Deterministic,4,1,DCL000139,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D02 | D03 | D05
UCR000140,PCL000140,STG000140,deterministically_linked,Deterministic,4,1,DCL000140,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03
UCR000141,PCL000141,STG000141,deterministically_linked,Deterministic,3,1,DCL000141,3,CRM | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000142,PCL000142,STG000142,deterministically_linked,Deterministic,11,1,DCL000142,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D04
UCR000143,PCL000143,STG000143,deterministically_linked,Deterministic,10,1,DCL000143,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000144,PCL000144,STG000144,deterministically_linked,Deterministic,4,1,DCL000144,3,CRM | ECOMMERCE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000145,PCL000145,STG000145,deterministically_linked,Deterministic,7,1,DCL000145,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03 | D08
UCR000146,PCL000146,STG000146,deterministically_linked,Deterministic,2,1,DCL000146,2,CRM | ECOMMERCE,1.0,Exact deterministic-rule confidence,D03
UCR000147,PCL000147,STG000147,deterministically_linked,Deterministic,10,1,DCL000147,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000148,PCL000148,STG000148,deterministically_linked,Deterministic,5,1,DCL000148,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D05 | D08
