ground_truth_id,portal_user_id
GT001546,USR000423
GT004881,USR000424
GT005033,USR000425
GT008365,USR000426
GT000458,USR000427
GT001853,USR000428
GT009159,USR000429
GT007290,USR000430
GT003381,USR000431
GT006443,USR000432
GT008928,USR000433
GT000522,USR000434
GT008098,USR000435
GT000753,USR000436
GT000969,USR000437
GT001796,USR000438
GT007719,USR000439
GT006352,USR000440
GT008305,USR000441
GT001192,USR000442
GT005034,USR000443
GT004452,USR000444
GT007403,USR000445
GT000332,USR000446
GT004659,USR000447
GT000348,USR000448
GT003548,USR000449
GT004433,USR000450
GT004895,USR000451
GT006348,USR000452
GT001896,USR000453
GT003817,USR000454
GT006737,USR000455
GT006718,USR000456
GT002522,USR000457
GT002354,USR000458
GT003212,USR000459
GT001908,USR000460
GT005247,USR000461
GT009744,USR000462
GT009499,USR000463
GT003519,USR000464
GT009549,USR000465
GT008145,USR000466
GT007013,USR000467
GT007651,USR000468
GT009361,USR000469
GT006678,USR000470
GT002751,USR000471
GT008739,USR000472
GT002312,USR000473
GT007330,USR000474
GT002571,USR000475
GT001430,USR000476
GT001249,USR000477
GT006430,USR000478
GT009170,USR000479
GT007034,USR000480
GT007620,USR000481
GT006522,USR000482
GT004770,USR000483
GT003486,USR000484
GT000491,USR000485
GT001973,USR000486
GT006325,USR000487
GT009552,USR000488
GT000682,USR000489
GT002466,USR000490
GT008140,USR000491
GT002657,USR000492
GT004871,USR000493
GT009698,USR000494
GT002384,USR000495
GT001547,USR000496
GT003047,USR000497
GT008375,USR000498
GT001272,USR000499
GT000875,USR000500
GT005653,USR000501
GT007040,USR000502
GT008540,USR000503
GT007972,USR000504
GT001323,USR000505
GT003828,USR000506
GT000297,USR000507
GT002999,USR000508
GT008234,USR000509
GT004630,USR000510
GT002939,USR000511
GT008543,USR000512
GT002273,USR000513
GT009847,USR000514
GT002330,USR000515
GT008960,USR000516
GT000183,USR000517
GT008806,USR000518
GT005588,USR000519
GT008048,USR000520
GT004223,USR000521
GT000363,USR000522
GT003412,USR000523
GT002356,USR000524
GT001079,USR000525
GT007301,USR000526
GT002360,USR000527
GT005250,USR000528
GT006132,USR000529
GT004059,USR000530
GT002670,USR000531
GT005352,USR000532
GT006203,USR000533
GT000961,USR000534
GT006895,USR000535
GT005494,USR000536
GT008699,USR000537
GT003529,USR000538
GT007114,USR000539
GT002746,USR000540
GT008112,USR000541
GT008303,USR000542
GT007295,USR000543
GT006945,USR000544
GT006014,USR000545
GT009831,USR000546
GT002826,USR000547
GT004014,USR000548
GT002021,USR000549
GT000843,USR000550
GT008166,USR000551
GT006034,USR000552
GT004326,USR000553
GT009261,USR000554
GT009676,USR000555
GT003497,USR000556
GT005351,USR000557
GT003067,USR000558
GT002137,USR000559
GT003721,USR000560
GT007492,USR000561
GT000595,USR000562
GT006892,USR000563
GT004642,USR000564
GT000916,USR000565
GT001012,USR000566
GT002060,USR000567
GT003439,USR000568
GT008903,USR000569
GT000948,USR000570
GT001288,USR000571
GT008559,USR000572
GT004983,USR000573
GT001660,USR000574
GT001827,USR000575
GT008190,USR000576
GT008454,USR000577
GT008151,USR000578
GT004647,USR000579
GT003858,USR000580
GT003426,USR000581
GT001248,USR000582
GT008063,USR000583
GT003832,USR000584
GT004762,USR000585
GT005699,USR000586
GT007328,USR000587
GT002641,USR000588
GT009865,USR000589
GT009190,USR000590
GT009720,USR000591
GT009504,USR000592
GT001474,USR000593
GT000270,USR000594
GT008410,USR000595
GT001094,USR000596
GT002252,USR000597
GT003624,USR000598
GT000274,USR000599
GT003785,USR000600
GT000645,USR000601
GT009772,USR000602
GT004499,USR000603
GT005136,USR000604
GT009752,USR000605
GT005521,USR000606
GT007984,USR000607
GT007339,USR000608
GT004219,USR000609
GT001506,USR000610
GT009460,USR000611
GT002033,USR000612
GT005454,USR000613
GT006613,USR000614
GT005349,USR000615
GT007074,USR000616
GT001588,USR000617
GT000575,USR000618
GT006775,USR000619
GT009035,USR000620
GT009996,USR000621
GT002047,USR000622
GT005801,USR000623
GT007737,USR000624
GT001294,USR000625
GT001181,USR000626
GT005635,USR000627
GT003838,USR000628
GT007424,USR000629
GT005245,USR000630
GT001843,USR000631
GT000728,USR000632
GT004856,USR000633
GT009154,USR000634
GT002722,USR000635
GT003861,USR000636
GT006244,USR000637
GT001472,USR000638
GT003030,USR000639
GT003931,USR000640
GT003407,USR000641
GT003955,USR000642
GT004163,USR000643
GT006258,USR000644
GT002915,USR000645
GT005884,USR000646
GT008174,USR000647
GT000139,USR000648
GT008339,USR000649
GT009826,USR000650
GT000711,USR000651
GT008495,USR000652
GT000398,USR000653
GT006381,USR000654
GT001872,USR000655
GT000353,USR000656
GT009671,USR000657
GT009093,USR000658
GT004132,USR000659
GT003423,USR000660
GT007876,USR000661
GT000782,USR000662
GT000853,USR000663
GT007783,USR000664
GT005114,USR000665
GT004730,USR000666
GT001769,USR000667
GT007272,USR000668
GT005366,USR000669
GT003063,USR000670
GT000295,USR000671
GT003126,USR000672
GT009498,USR000673
GT007018,USR000674
GT003604,USR000675
GT006188,USR000676
GT005566,USR000677
GT000986,USR000678
GT001212,USR000679
GT004371,USR000680
GT000206,USR000681
GT003514,USR000682
GT004760,USR000683
GT001631,USR000684
GT004944,USR000685
GT007052,USR000686
GT003236,USR000687
GT004998,USR000688
GT000377,USR000689
GT001556,USR000690
GT000852,USR000691
GT000697,USR000692
GT003937,USR000693
GT000790,USR000694
GT002896,USR000695
GT001757,USR000696
GT002492,USR000697
GT005939,USR000698
GT005479,USR000699
GT005057,USR000700
GT009678,USR000701
GT000584,USR000702
GT009589,USR000703
GT000086,USR000704
GT007554,USR000705
GT006993,USR000706
GT008873,USR000707
GT008842,USR000708
GT007572,USR000709
GT007578,USR000710
GT008943,USR000711
GT002941,USR000712
GT005915,USR000713
GT002743,USR000714
GT000626,USR000715
GT007324,USR000716
GT005835,USR000717
GT001136,USR000718
GT004992,USR000719
GT002733,USR000720
GT007671,USR000721
GT008728,USR000722
GT002366,USR000723
GT008281,USR000724
GT008377,USR000725
GT004074,USR000726
GT006864,USR000727
GT007416,USR000728
GT005307,USR000729
GT002184,USR000730
GT002377,USR000731
GT003018,USR000732
GT007805,USR000733
GT009645,USR000734
GT004029,USR000735
GT004133,USR000736
GT004514,USR000737
GT002858,USR000738
GT008966,USR000739
GT004938,USR000740
GT002417,USR000741
GT008259,USR000742
GT006160,USR000743
GT008414,USR000744
GT002243,USR000745
GT005556,USR000746
GT000294,USR000747
GT006439,USR000748
GT007950,USR000749
GT006453,USR000750
GT009966,USR000751
GT007254,USR000752
GT003364,USR000753
GT009314,USR000754
GT004247,USR000755
GT004931,USR000756
GT007291,USR000757
GT003703,USR000758
GT006866,USR000759
GT005084,USR000760
GT001186,USR000761
GT005704,USR000762
GT008594,USR000763
GT006075,USR000764
GT006858,USR000765
GT001457,USR000766
GT007393,USR000767
GT001231,USR000768
GT003998,USR000769
GT003329,USR000770
GT008102,USR000771
GT000563,USR000772
GT004535,USR000773
GT005323,USR000774
GT006688,USR000775
GT006408,USR000776
GT003628,USR000777
GT000594,USR000778
GT004705,USR000779
GT003319,USR000780
GT009220,USR000781
GT006714,USR000782
GT004608,USR000783
GT004795,USR000784
GT008834,USR000785
GT005249,USR000786
GT005679,USR000787
GT008448,USR000788
GT005133,USR000789
GT002337,USR000790
GT000860,USR000791
GT008515,USR000792
GT002200,USR000793
GT009178,USR000794
GT000937,USR000795
GT003562,USR000796
GT001748,USR000797
GT007099,USR000798
GT001467,USR000799
GT009959,USR000800
GT008060,USR000801
GT008369,USR000802
GT001049,USR000803
GT008021,USR000804
GT000465,USR000805
GT004673,USR000806
GT006155,USR000807
GT008022,USR000808
GT008189,USR000809
GT001866,USR000810
GT009782,USR000811
GT009114,USR000812
GT001766,USR000813
GT003959,USR000814
GT005394,USR000815
GT006671,USR000816
GT003710,USR000817
GT001194,USR000818
GT009761,USR000819
GT005135,USR000820
GT005725,USR000821
GT006809,USR000822
GT003162,USR000823
GT007873,USR000824
GT008824,USR000825
GT008496,USR000826
GT009533,USR000827
GT008849,USR000828
GT005468,USR000829
GT008570,USR000830
GT008217,USR000831
GT008676,USR000832
GT002117,USR000833
GT000359,USR000834
GT006523,USR000835
GT004339,USR000836
GT004460,USR000837
GT004477,USR000838
GT001274,USR000839
GT002914,USR000840
GT005278,USR000841
GT008371,USR000842
GT001479,USR000843
GT009022,USR000844
GT007638,USR000845
GT007531,USR000846
GT005780,USR000847
GT006558,USR000848
GT004706,USR000849
GT009643,USR000850
GT009352,USR000851
GT005951,USR000852
GT001366,USR000853
GT006801,USR000854
GT007407,USR000855
GT004873,USR000856
GT002799,USR000857
GT007666,USR000858
GT006912,USR000859
GT006665,USR000860
GT009079,USR000861
GT004061,USR000862
GT001845,USR000863
GT002544,USR000864
GT008188,USR000865
GT008700,USR000866
GT008280,USR000867
GT004121,USR000868
GT001464,USR000869
GT002245,USR000870
GT003367,USR000871
GT006413,USR000872
GT003323,USR000873
GT001754,USR000874
GT002120,USR000875
GT000855,USR000876
GT002658,USR000877
GT008945,USR000878
GT003850,USR000879
GT002286,USR000880
GT004117,USR000881
GT001092,USR000882
GT002550,USR000883
GT008091,USR000884
GT006914,USR000885
GT001339,USR000886
GT005331,USR000887
GT008317,USR000888
GT006774,USR000889
GT000320,USR000890
GT003050,USR000891
GT006481,USR000892
GT007565,USR000893
GT004113,USR000894
GT006538,USR000895
GT001236,USR000896
GT007495,USR000897
GT001060,USR000898
GT005667,USR000899
GT000688,USR000900
GT001437,USR000901
GT001132,USR000902
GT008443,USR000903
GT009658,USR000904
GT008406,USR000905
GT004376,USR000906
GT006099,USR000907
GT008485,USR000908
GT002231,USR000909
GT004583,USR000910
GT001793,USR000911
GT002672,USR000912
GT007216,USR000913
GT008447,USR000914
GT009385,USR000915
GT000787,USR000916
GT007785,USR000917
GT004303,USR000918
GT001318,USR000919
GT005493,USR000920
GT007304,USR000921
GT003469,USR000922
GT007049,USR000923
GT006624,USR000924
GT002847,USR000925
GT007583,USR000926
GT009184,USR000927
GT002908,USR000928
GT000635,USR000929
GT008263,USR000930
GT002487,USR000931
GT002229,USR000932
GT006703,USR000933
GT008845,USR000934
GT001801,USR000935
GT002193,USR000936
GT001534,USR000937
GT007750,USR000938
GT006672,USR000939
GT002479,USR000940
GT000917,USR000941
GT004459,USR000942
GT001308,USR000943
GT006630,USR000944
GT003461,USR000945
GT003678,USR000946
GT005891,USR000947
GT001689,USR000948
GT003280,USR000949
GT003933,USR000950
GT003923,USR000951
GT003209,USR000952
GT004882,USR000953
GT003456,USR000954
GT000105,USR000955
GT000444,USR000956
GT009192,USR000957
GT003371,USR000958
GT005539,USR000959
GT006415,USR000960
GT002960,USR000961
GT007149,USR000962
GT007993,USR000963
GT007429,USR000964
GT006130,USR000965
GT000949,USR000966
GT005573,USR000967
GT005337,USR000968
GT005242,USR000969
GT005527,USR000970
GT004839,USR000971
GT002685,USR000972
GT004160,USR000973
GT009316,USR000974
GT002716,USR000975
GT002660,USR000976
GT005372,USR000977
GT007059,USR000978
GT009861,USR000979
GT006705,USR000980
GT000475,USR000981
GT009189,USR000982
GT004507,USR000983
GT006728,USR000984
GT001638,USR000985
GT003835,USR000986
GT001412,USR000987
GT007973,USR000988
GT001820,USR000989
GT005365,USR000990
GT006109,USR000991
GT003654,USR000992
GT000334,USR000993
GT004957,USR000994
GT003509,USR000995
GT002767,USR000996
GT001135,USR000997
GT000447,USR000998
GT000406,USR000999
GT004098,USR001000
GT001063,USR001001
GT008395,USR001002
GT003373,USR001003
GT006071,USR001004
GT005052,USR001005
GT003349,USR001006
GT000345,USR001007
GT004007,USR001008
GT006323,USR001009
GT009507,USR001010
GT001677,USR001011
GT003754,USR001012
GT009340,USR001013
GT004368,USR001014
GT004479,USR001015
GT000210,USR001016
GT009610,USR001017
GT006404,USR001018
GT009566,USR001019
GT003375,USR001020
GT007631,USR001021
GT004636,USR001022
GT003034,USR001023
GT004126,USR001024
GT009960,USR001025
GT009696,USR001026
GT005862,USR001027
GT000804,USR001028
GT009892,USR001029
GT007563,USR001030
GT007654,USR001031
GT006896,USR001032
GT002682,USR001033
GT002509,USR001034
GT009409,USR001035
GT006696,USR001036
GT008814,USR001037
GT008332,USR001038
GT006816,USR001039
GT008563,USR001040
GT002274,USR001041
GT004340,USR001042
GT008667,USR001043
GT003360,USR001044
GT004593,USR001045
GT004903,USR001046
GT004671,USR001047
GT001031,USR001048
GT007602,USR001049
GT001417,USR001050
GT006570,USR001051
GT009793,USR001052
GT007746,USR001053
GT001519,USR001054
GT008211,USR001055
GT000973,USR001056
GT003229,USR001057
GT006015,USR001058
GT004543,USR001059
GT002489,USR001060
GT002921,USR001061
GT003165,USR001062
GT000673,USR001063
GT006425,USR001064
GT001254,USR001065
GT004551,USR001066
GT009336,USR001067
GT006431,USR001068
GT000822,USR001069
GT004607,USR001070
GT008867,USR001071
GT003313,USR001072
GT004852,USR001073
GT008141,USR001074
GT009290,USR001075
GT004068,USR001076
GT000305,USR001077
GT007546,USR001078
GT004136,USR001079
GT008871,USR001080
GT004466,USR001081
GT001967,USR001082
GT000055,USR001083
GT002153,USR001084
GT002199,USR001085
GT002948,USR001086
GT005955,USR001087
GT002439,USR001088
GT009400,USR001089
GT007600,USR001090
GT005605,USR001091
GT008337,USR001092
GT002050,USR001093
GT005082,USR001094
GT007717,USR001095
GT000926,USR001096
GT005336,USR001097
GT002796,USR001098
GT001736,USR001099
GT003175,USR001100
GT005180,USR001101
GT006757,USR001102
GT006692,USR001103
GT003159,USR001104
GT003833,USR001105
GT005624,USR001106
GT002188,USR001107
GT008068,USR001108
GT001505,USR001109
GT004697,USR001110
GT009422,USR001111
GT008065,USR001112
GT006376,USR001113
GT002916,USR001114
GT009300,USR001115
GT009457,USR001116
GT003869,USR001117
GT009364,USR001118
GT007692,USR001119
GT006016,USR001120
GT002170,USR001121
GT008147,USR001122
GT000805,USR001123
GT003558,USR001124
GT006730,USR001125
GT001011,USR001126
GT007465,USR001127
GT002978,USR001128
GT009906,USR001129
GT009389,USR001130
GT004135,USR001131
GT007653,USR001132
GT000542,USR001133
GT004268,USR001134
GT008073,USR001135
GT006064,USR001136
GT002817,USR001137
GT008241,USR001138
GT001756,USR001139
GT006639,USR001140
GT006334,USR001141
GT007915,USR001142
GT004457,USR001143
GT006470,USR001144
GT008678,USR001145
GT009719,USR001146
GT009788,USR001147
GT009570,USR001148
GT000151,USR001149
GT006112,USR001150
GT009357,USR001151
GT000217,USR001152
GT000814,USR001153
GT003408,USR001154
GT006423,USR001155
GT009466,USR001156
GT007822,USR001157
GT005850,USR001158
GT009071,USR001159
GT004418,USR001160
GT000718,USR001161
GT006752,USR001162
GT009987,USR001163
GT002094,USR001164
GT002420,USR001165
GT000684,USR001166
GT009690,USR001167
GT007794,USR001168
GT008036,USR001169
GT002860,USR001170
GT005540,USR001171
GT001936,USR001172
GT001791,USR001173
GT009483,USR001174
GT007157,USR001175
GT000157,USR001176
GT009241,USR001177
GT004832,USR001178
GT003843,USR001179
GT002121,USR001180
GT005806,USR001181
GT000663,USR001182
GT000009,USR001183
GT005633,USR001184
GT006583,USR001185
GT002597,USR001186
GT006959,USR001187
GT000245,USR001188
GT009555,USR001189
GT002381,USR001190
GT000162,USR001191
GT007747,USR001192
GT008165,USR001193
GT007526,USR001194
GT006869,USR001195
GT000795,USR001196
GT007955,USR001197
GT004087,USR001198
GT002952,USR001199
GT007994,USR001200
GT009642,USR001201
GT009929,USR001202
GT007057,USR001203
GT003271,USR001204
GT006837,USR001205
GT005330,USR001206
GT009003,USR001207
GT004229,USR001208
GT009109,USR001209
GT003871,USR001210
GT004581,USR001211
GT003160,USR001212
GT009303,USR001213
GT002573,USR001214
GT003191,USR001215
GT004752,USR001216
GT000489,USR001217
GT006873,USR001218
GT001581,USR001219
GT007282,USR001220
GT008769,USR001221
GT009734,USR001222
GT006410,USR001223
GT006114,USR001224
GT005809,USR001225
GT004317,USR001226
GT000416,USR001227
GT000181,USR001228
GT000577,USR001229
GT002991,USR001230
GT006857,USR001231
GT001768,USR001232
GT006466,USR001233
GT000253,USR001234
GT002449,USR001235
GT008104,USR001236
GT004552,USR001237
GT009843,USR001238
GT000486,USR001239
GT005032,USR001240
GT006685,USR001241
GT004088,USR001242
GT006260,USR001243
GT001848,USR001244
GT006269,USR001245
GT007889,USR001246
GT000898,USR001247
GT008925,USR001248
GT009657,USR001249
GT006745,USR001250
GT005232,USR001251
GT002835,USR001252
GT001349,USR001253
GT001255,USR001254
GT004427,USR001255
GT007507,USR001256
GT006836,USR001257
GT009806,USR001258
GT005558,USR001259
GT000607,USR001260
GT007496,USR001261
GT005096,USR001262
GT000938,USR001263
GT001242,USR001264
GT003252,USR001265
GT004400,USR001266
GT005581,USR001267
GT009858,USR001268
GT009226,USR001269
GT008486,USR001270
GT001168,USR001271
GT006359,USR001272
GT008787,USR001273
GT000403,USR001274
GT000615,USR001275
GT001564,USR001276
GT005306,USR001277
GT003487,USR001278
GT006777,USR001279
GT005146,USR001280
GT006918,USR001281
GT003119,USR001282
GT007625,USR001283
GT009004,USR001284
GT009824,USR001285
GT002648,USR001286
GT009597,USR001287
GT006796,USR001288
GT000655,USR001289
GT009970,USR001290
GT007559,USR001291
GT008671,USR001292
GT005572,USR001293
GT006420,USR001294
GT002093,USR001295
GT005382,USR001296
GT000288,USR001297
GT007642,USR001298
GT000714,USR001299
GT005240,USR001300
GT004707,USR001301
GT009505,USR001302
GT006365,USR001303
GT009545,USR001304
GT005934,USR001305
GT003043,USR001306
GT008178,USR001307
GT005260,USR001308
GT002097,USR001309
GT004463,USR001310
GT005548,USR001311
GT003244,USR001312
GT009691,USR001313
GT000913,USR001314
GT007967,USR001315
GT004469,USR001316
GT005636,USR001317
GT002111,USR001318
GT009023,USR001319
GT009519,USR001320
GT004293,USR001321
GT005234,USR001322
GT009087,USR001323
GT006483,USR001324
GT008626,USR001325
GT007032,USR001326
GT007835,USR001327
GT000174,USR001328
GT002133,USR001329
GT000481,USR001330
GT008872,USR001331
GT001938,USR001332
GT009413,USR001333
GT000130,USR001334
GT001158,USR001335
GT002398,USR001336
GT005807,USR001337
GT008013,USR001338
GT002460,USR001339
GT004076,USR001340
GT001865,USR001341
GT001831,USR001342
GT001531,USR001343
GT007387,USR001344
GT001101,USR001345
GT004361,USR001346
GT007260,USR001347
GT000132,USR001348
GT000005,USR001349
GT001595,USR001350
GT005140,USR001351
GT008752,USR001352
GT002208,USR001353
GT002335,USR001354
GT008597,USR001355
GT009700,USR001356
GT009771,USR001357
GT005466,USR001358
GT004030,USR001359
GT001082,USR001360
GT004863,USR001361
GT001836,USR001362
GT003682,USR001363
GT001156,USR001364
GT003979,USR001365
GT008817,USR001366
GT000619,USR001367
GT005614,USR001368
GT009329,USR001369
GT000730,USR001370
GT008742,USR001371
GT000988,USR001372
GT001674,USR001373
GT000352,USR001374
GT009898,USR001375
GT004297,USR001376
GT001996,USR001377
GT005515,USR001378
GT008600,USR001379
GT008307,USR001380
GT007951,USR001381
GT006929,USR001382
GT002176,USR001383
GT005734,USR001384
GT005134,USR001385
GT003813,USR001386
GT002993,USR001387
GT007198,USR001388
GT006738,USR001389
GT000358,USR001390
GT003149,USR001391
GT004667,USR001392
GT005517,USR001393
GT009383,USR001394
GT006084,USR001395
GT006861,USR001396
GT009933,USR001397
