support_ticket_id,ground_truth_id,customer_segment,customer_age,intended_issue_category,contact_channel,issue_category,dq_name_typo,dq_email_typo,dq_phone_error,dq_missing_email,dq_missing_phone,dq_incorrect_issue_category
SUP000081,GT001943,Occasional,57,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000082,GT004033,VIP,48,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000083,GT000393,Regular,49,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000084,GT007722,Regular,65,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000085,GT003183,Regular,34,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000086,GT007376,Regular,59,Enquiry,Phone,Enquiry,False,True,False,False,False,False
SUP000087,GT006718,Occasional,41,Enquiry,Email,Enquiry,False,True,False,False,False,False
SUP000088,GT004886,Occasional,58,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000089,GT002868,Regular,31,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000090,GT002441,Occasional,54,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000091,GT003431,Regular,35,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000092,GT007134,VIP,33,Enquiry,Phone,Enquiry,False,False,False,True,False,False
SUP000093,GT004226,Occasional,49,Enquiry,Email,Enquiry,False,False,True,False,False,False
SUP000094,GT003777,Occasional,70,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000095,GT000914,VIP,85,Accessibility,Email,Accessibility,False,True,False,False,False,False
SUP000096,GT004019,Occasional,42,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000097,GT005867,Regular,35,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000098,GT000767,Occasional,41,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000099,GT009120,Occasional,27,Refund request,Email,Refund request,False,False,True,False,False,False
SUP000100,GT000205,Occasional,47,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000101,GT005800,Regular,55,Accessibility,Email,Refund request,False,False,False,False,False,True
SUP000102,GT009018,Regular,36,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000103,GT005276,VIP,41,Refund request,Email,Refund request,False,True,False,False,False,False
SUP000104,GT008847,Occasional,43,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000105,GT006391,Occasional,54,Accessibility,Email,Accessibility,False,False,False,False,True,False
SUP000106,GT002541,Occasional,59,Refund request,Phone,Refund request,False,False,False,True,False,False
SUP000107,GT000841,VIP,70,Refund request,Phone,Refund request,False,False,False,True,False,False
SUP000108,GT006186,Occasional,35,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000109,GT008509,Occasional,42,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000110,GT006361,Occasional,34,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000111,GT001454,New,29,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000112,GT007205,Regular,84,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000113,GT007611,Regular,23,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000114,GT005003,Regular,75,Accessibility,Email,Accessibility,False,False,False,False,True,False
SUP000115,GT009744,Regular,54,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000116,GT004467,Occasional,79,Accessibility,Phone,Accessibility,False,False,False,True,False,False
SUP000117,GT005104,Occasional,36,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000118,GT000976,Occasional,35,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000119,GT003488,Occasional,61,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000120,GT003928,Regular,23,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000121,GT009151,Occasional,68,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000122,GT008982,Regular,57,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000123,GT009482,Occasional,22,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000124,GT003767,VIP,50,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000125,GT006608,Regular,62,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000126,GT004171,Occasional,67,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000127,GT009802,VIP,66,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000128,GT003029,Regular,40,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000129,GT006803,Regular,50,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000130,GT001349,Regular,41,Enquiry,Email,Enquiry,False,True,True,False,False,False
SUP000131,GT005082,Occasional,63,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000132,GT001344,Regular,37,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000133,GT005455,New,28,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000134,GT003343,Occasional,76,Accessibility,Email,Enquiry,False,False,False,False,False,True
SUP000135,GT005581,Occasional,45,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000136,GT007313,VIP,57,Enquiry,Phone,Enquiry,False,False,False,True,False,False
SUP000137,GT009266,Regular,23,Complaint,Email,Complaint,False,False,True,False,False,False
SUP000138,GT009306,Regular,26,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000139,GT006700,Occasional,27,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000140,GT008781,VIP,65,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000141,GT006370,Occasional,24,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000142,GT000374,VIP,44,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000143,GT001944,Occasional,49,Complaint,Phone,Complaint,False,False,True,False,False,False
SUP000144,GT003225,Occasional,24,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000145,GT001182,Regular,53,Accessibility,Phone,Accessibility,False,False,False,True,False,False
SUP000146,GT006893,Occasional,52,Complaint,Phone,Complaint,False,False,False,True,False,False
SUP000147,GT003504,Occasional,49,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000148,GT000659,Occasional,85,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000149,GT005778,VIP,51,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000150,GT005480,Regular,55,Accessibility,Phone,Accessibility,False,False,False,True,False,False
SUP000151,GT009190,Occasional,45,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000152,GT008765,Regular,57,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000153,GT007039,Regular,69,Accessibility,Email,Accessibility,False,True,False,False,False,False
SUP000154,GT005313,New,31,Complaint,Email,Complaint,False,True,False,False,True,False
SUP000155,GT006434,Regular,40,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000156,GT001820,Regular,54,Complaint,Email,Complaint,False,True,False,False,True,False
SUP000157,GT002213,Regular,46,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000158,GT009490,Occasional,29,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000159,GT002447,Regular,49,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000160,GT006370,Occasional,24,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000161,GT009276,Occasional,64,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000162,GT003852,Occasional,61,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000163,GT005930,Occasional,25,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000164,GT001125,Regular,40,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000165,GT001206,Occasional,39,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000166,GT000754,Occasional,46,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000167,GT008466,Regular,68,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000168,GT001665,Regular,32,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000169,GT002606,Occasional,48,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000170,GT005939,VIP,78,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000171,GT001392,Regular,46,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000172,GT003870,Regular,22,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000173,GT007169,Occasional,31,Refund request,Phone,Refund request,False,True,False,False,False,False
SUP000174,GT002511,Occasional,19,Enquiry,Phone,Enquiry,False,False,False,True,False,False
SUP000175,GT004038,Occasional,25,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000176,GT006172,Regular,67,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000177,GT002409,VIP,35,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000178,GT000868,Occasional,54,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000179,GT003110,VIP,54,Accessibility,Email,Accessibility,True,False,True,False,False,False
SUP000180,GT008388,Regular,20,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000181,GT008317,VIP,22,Enquiry,Phone,Enquiry,True,False,False,False,False,False
SUP000182,GT002335,Regular,29,Accessibility,Email,Accessibility,False,False,False,False,True,False
SUP000183,GT005294,Regular,74,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000184,GT002055,Occasional,41,Enquiry,Phone,Enquiry,False,True,False,False,False,False
SUP000185,GT005483,Regular,41,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000186,GT002696,Regular,79,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000187,GT005232,Occasional,51,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000188,GT004215,Occasional,41,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000189,GT002133,Regular,81,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000190,GT000340,VIP,25,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000191,GT005113,Regular,25,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000192,GT000240,Regular,54,Enquiry,Email,Enquiry,True,False,False,False,False,False
SUP000193,GT008719,VIP,60,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000194,GT004703,Occasional,30,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000195,GT008016,Occasional,75,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000196,GT005265,Regular,61,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000197,GT002180,Regular,58,Complaint,Phone,Accessibility,False,True,False,False,False,True
SUP000198,GT007302,VIP,30,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000199,GT000186,Occasional,47,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000200,GT008430,Occasional,56,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000201,GT003560,Regular,22,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000202,GT009987,Regular,52,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000203,GT001673,VIP,45,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000204,GT008141,Regular,52,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000205,GT007068,Occasional,76,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000206,GT007486,Occasional,56,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000207,GT004620,Occasional,54,Complaint,Email,Complaint,True,False,False,False,False,False
SUP000208,GT009042,Occasional,34,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000209,GT009347,Regular,50,Refund request,Phone,Refund request,False,False,False,True,False,False
SUP000210,GT001548,Occasional,26,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000211,GT005693,Regular,26,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000212,GT005566,Occasional,76,Enquiry,Phone,Enquiry,False,False,False,True,False,False
SUP000213,GT007023,Regular,28,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000214,GT005602,Occasional,34,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000215,GT000917,Occasional,80,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000216,GT000734,VIP,34,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000217,GT000364,Occasional,36,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000218,GT000772,Occasional,36,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000219,GT003936,Regular,43,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000220,GT003419,Regular,22,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000221,GT002157,Occasional,31,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000222,GT001337,Regular,57,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000223,GT003701,Occasional,20,Enquiry,Email,Enquiry,False,False,True,False,False,False
SUP000224,GT009587,VIP,76,Refund request,Email,Accessibility,False,False,False,False,False,True
SUP000225,GT002352,Regular,31,Refund request,Phone,Refund request,False,True,False,False,False,False
SUP000226,GT002714,Occasional,39,Accessibility,Email,Enquiry,False,False,False,False,False,True
SUP000227,GT005344,VIP,42,Enquiry,Email,Enquiry,False,True,False,False,False,False
SUP000228,GT002420,Regular,76,Refund request,Phone,Enquiry,False,False,False,True,False,True
SUP000229,GT001770,Occasional,51,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000230,GT006344,Regular,25,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000231,GT002455,Occasional,29,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000232,GT008088,Occasional,64,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000233,GT000223,Regular,30,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000234,GT001358,VIP,47,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000235,GT008480,Occasional,70,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000236,GT008204,Occasional,70,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000237,GT007476,Regular,36,Refund request,Phone,Refund request,False,False,False,True,False,False
SUP000238,GT002094,Regular,22,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000239,GT003001,Regular,67,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000240,GT008515,Occasional,71,Enquiry,Email,Complaint,False,False,False,False,False,True
SUP000241,GT004533,Regular,39,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000242,GT001212,Occasional,69,Enquiry,Phone,Enquiry,False,False,False,True,False,False
SUP000243,GT000787,Occasional,54,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000244,GT008651,VIP,44,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000245,GT007216,Occasional,58,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000246,GT009358,Occasional,64,Accessibility,Phone,Accessibility,False,False,True,False,False,False
SUP000247,GT009714,Regular,22,Accessibility,Email,Accessibility,False,False,True,False,False,False
SUP000248,GT002745,VIP,41,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000249,GT007993,Regular,33,Refund request,Email,Refund request,False,False,True,False,False,False
SUP000250,GT007820,Regular,82,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000251,GT009373,Regular,73,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000252,GT009629,Occasional,20,Enquiry,Phone,Enquiry,True,False,False,False,False,False
SUP000253,GT005148,Regular,53,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000254,GT006241,Occasional,50,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000255,GT003675,VIP,29,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000256,GT002531,Occasional,62,Accessibility,Email,Accessibility,False,False,False,False,True,False
SUP000257,GT003647,Regular,41,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000258,GT008074,Occasional,78,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000259,GT009693,Occasional,45,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000260,GT004962,Occasional,68,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000261,GT006746,Occasional,68,Complaint,Email,Complaint,False,True,False,False,False,False
SUP000262,GT004494,VIP,20,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000263,GT005074,VIP,30,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000264,GT005158,VIP,41,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000265,GT009173,Regular,44,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000266,GT003327,VIP,39,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000267,GT000995,Regular,37,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000268,GT002965,VIP,56,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000269,GT001900,Regular,44,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000270,GT009226,Occasional,72,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000271,GT009151,Occasional,68,Accessibility,Phone,Accessibility,False,False,False,True,False,False
SUP000272,GT007873,Regular,32,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000273,GT003234,Occasional,31,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000274,GT003004,Regular,48,Enquiry,Email,Enquiry,False,True,False,False,False,False
SUP000275,GT005967,Occasional,79,Refund request,Email,Complaint,False,False,False,False,False,True
SUP000276,GT005059,Occasional,35,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000277,GT003667,Regular,56,Refund request,Phone,Refund request,False,False,True,True,False,False
SUP000278,GT000392,Occasional,19,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000279,GT002954,Regular,31,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000280,GT002259,Occasional,51,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000281,GT001112,VIP,70,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000282,GT005255,Occasional,23,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000283,GT005043,Regular,24,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000284,GT005826,Occasional,25,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000285,GT001180,Occasional,21,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000286,GT002014,Occasional,26,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000287,GT007910,Occasional,59,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000288,GT003053,Occasional,63,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000289,GT008465,VIP,73,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000290,GT008856,VIP,26,Refund request,Phone,Refund request,False,False,True,True,False,False
SUP000291,GT002409,VIP,35,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000292,GT006326,Regular,44,Refund request,Phone,Refund request,True,False,False,False,False,False
SUP000293,GT000316,VIP,21,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000294,GT005207,Occasional,41,Complaint,Phone,Complaint,False,False,False,True,False,False
SUP000295,GT007599,Occasional,71,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000296,GT007129,Occasional,28,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000297,GT002366,New,25,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000298,GT007784,Occasional,81,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000299,GT005818,Occasional,81,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000300,GT001784,Occasional,44,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000301,GT006344,Regular,25,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000302,GT000459,Occasional,51,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000303,GT002839,VIP,23,Accessibility,Phone,Accessibility,False,False,True,True,False,False
SUP000304,GT007519,VIP,57,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000305,GT009281,VIP,36,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000306,GT004544,Occasional,36,Enquiry,Email,Enquiry,True,False,False,False,False,False
SUP000307,GT007888,Occasional,35,Refund request,Phone,Refund request,False,False,False,True,False,False
SUP000308,GT002681,Occasional,29,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000309,GT007478,Occasional,22,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000310,GT000071,Regular,82,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000311,GT004160,Regular,59,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000312,GT002953,Occasional,52,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000313,GT000309,Occasional,44,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000314,GT009519,Regular,26,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000315,GT000261,VIP,60,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000316,GT008309,Occasional,75,Complaint,Email,Complaint,False,False,False,False,False,False
