transaction_id,ground_truth_id,guest_transaction,portal_user_id,available_portal_user_id,event_id,ticket_type,dq_missing_email,dq_missing_phone,dq_alternative_email,dq_email_typo,dq_name_typo,dq_historical_billing_address,dq_postcode_format_variation,dq_incorrect_phone,dq_cardholder_name_variation
TXN000035,GT009389,False,USR001130,USR001130,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000036,GT002251,True,,,EVT0006,Standing,False,False,True,False,False,False,False,False,False
TXN000037,GT003652,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000038,GT003942,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000039,GT003550,False,USR001598,USR001598,EVT0002,Standing,False,False,False,True,False,False,False,False,False
TXN000040,GT009047,True,,,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000041,GT002581,True,,,EVT0001,Seated,False,True,False,False,False,False,True,False,False
TXN000042,GT009288,True,,,EVT0012,Standing,False,False,False,False,False,False,False,False,False
TXN000043,GT008050,False,USR000088,USR000088,EVT0045,Standing,False,False,False,False,False,False,False,False,False
TXN000044,GT000496,True,,,EVT0001,Standing,False,False,False,False,True,False,True,False,False
TXN000045,GT004254,False,USR003925,USR003925,EVT0003,Standing,False,False,False,True,False,False,False,False,False
TXN000046,GT009787,True,,,EVT0003,Standing,True,True,False,False,False,False,False,False,False
TXN000047,GT005833,True,,,EVT0003,Standing,True,True,False,False,True,False,False,False,False
TXN000048,GT004383,True,,,EVT0001,Standing,False,True,False,False,False,False,False,False,False
TXN000049,GT003510,True,,USR003426,EVT0006,Standing,False,False,False,False,False,False,False,False,False
TXN000050,GT006051,True,,,EVT0004,Standing,False,False,False,False,False,False,True,False,True
TXN000051,GT007749,True,,,EVT0004,Standing,False,False,False,False,False,False,False,False,False
TXN000052,GT000522,False,USR000434,USR000434,EVT0002,Standing,False,False,False,False,False,False,True,False,False
TXN000053,GT008517,False,USR002562,USR002562,EVT0013,Seated,False,False,False,False,False,False,False,False,False
TXN000054,GT001715,True,,,EVT0015,Standing,False,True,False,False,False,True,False,False,True
TXN000055,GT006121,False,USR002347,USR002347,EVT0011,Standing,False,False,False,False,False,False,False,False,False
TXN000056,GT009099,True,,,EVT0011,Seated,False,False,True,False,False,False,False,False,False
TXN000057,GT003406,True,,,EVT0001,Standing,False,False,False,True,False,False,False,False,False
TXN000058,GT006861,False,USR001396,USR001396,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000059,GT001467,False,USR000799,USR000799,EVT0017,Standing,False,True,False,False,False,False,False,False,False
TXN000060,GT000454,True,,,EVT0002,Standing,False,False,True,False,False,False,False,False,False
TXN000061,GT000206,False,USR000681,USR000681,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000062,GT003120,False,USR002604,USR002604,EVT0016,Seated,False,False,False,False,False,False,False,False,True
TXN000063,GT007178,True,,,EVT0016,Standing,False,False,False,False,False,True,False,False,False
TXN000064,GT007182,False,USR001855,USR001855,EVT0001,Standing,True,False,False,False,False,False,False,False,False
TXN000065,GT000813,True,,,EVT0001,Standing,False,False,False,False,False,False,True,False,True
TXN000066,GT004475,False,USR001653,USR001653,EVT0006,Standing,False,False,False,False,False,False,False,False,False
TXN000067,GT008416,False,USR004162,USR004162,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000068,GT003484,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000069,GT009924,False,USR003904,USR003904,EVT0001,Standing,True,False,False,False,False,False,False,False,True
TXN000070,GT000932,True,,,EVT0004,Standing,False,False,False,False,False,False,False,False,False
TXN000071,GT000481,True,,USR001330,EVT0001,Standing,False,False,False,False,False,False,False,False,True
TXN000072,GT002097,False,USR001309,USR001309,EVT0007,Standing,False,True,False,False,False,False,True,False,False
TXN000073,GT008975,True,,,EVT0041,Standing,False,False,False,False,False,False,True,False,False
TXN000074,GT006851,False,USR000276,USR000276,EVT0013,Standing,False,False,False,False,False,False,False,False,False
TXN000075,GT006174,True,,,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000076,GT003232,True,,,EVT0001,Standing,True,False,False,False,False,True,False,False,False
TXN000077,GT001821,True,,,EVT0001,Standing,False,False,False,False,False,True,False,False,True
TXN000078,GT001041,False,USR002264,USR002264,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000079,GT008058,False,USR000297,USR000297,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000080,GT006922,True,,USR000171,EVT0013,Standing,False,False,True,False,False,False,False,False,False
TXN000081,GT003498,False,USR001429,USR001429,EVT0003,Standing,False,False,True,False,False,False,False,False,False
TXN000082,GT000422,False,USR003855,USR003855,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000083,GT000336,True,,,EVT0014,Standing,False,True,False,False,False,False,False,False,False
TXN000084,GT002737,True,,USR003329,EVT0005,Seated,False,False,False,False,False,False,False,False,False
TXN000085,GT006330,False,USR003436,USR003436,EVT0001,Standing,False,False,False,True,False,False,True,False,False
TXN000086,GT009232,False,USR003934,USR003934,EVT0003,Standing,False,False,False,True,False,False,False,False,True
TXN000087,GT006202,False,USR002318,USR002318,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000088,GT000150,True,,,EVT0001,Standing,False,True,False,False,False,False,False,False,False
TXN000089,GT002540,True,,USR001691,EVT0003,Standing,False,True,False,False,False,False,False,False,False
TXN000090,GT001371,True,,,EVT0004,Standing,False,False,False,False,False,True,False,False,False
TXN000091,GT002907,True,,USR000077,EVT0010,Standing,False,False,False,False,True,False,False,False,False
TXN000092,GT004319,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000093,GT000568,True,,,EVT0023,Standing,False,False,False,False,False,False,False,False,True
TXN000094,GT006769,True,,,EVT0013,Seated,False,False,False,False,False,False,False,False,False
TXN000095,GT009150,True,,USR002156,EVT0002,Standing,False,False,True,False,False,False,False,False,False
TXN000096,GT008001,False,USR001621,USR001621,EVT0022,Standing,False,True,False,False,False,False,False,False,False
TXN000097,GT006389,True,,,EVT0004,Standing,False,False,False,False,False,False,False,False,False
TXN000098,GT003543,False,USR000122,USR000122,EVT0024,Standing,False,False,False,False,False,False,True,False,False
TXN000099,GT005078,True,,,EVT0001,Standing,False,False,True,False,False,True,False,False,False
TXN000100,GT000528,True,,,EVT0032,Seated,False,False,False,False,False,False,False,False,False
TXN000101,GT003666,False,USR001498,USR001498,EVT0004,Standing,False,False,False,False,False,False,False,False,False
TXN000102,GT001181,False,USR000626,USR000626,EVT0001,Seated,False,True,False,False,False,False,False,False,False
TXN000103,GT001973,True,,USR000486,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000104,GT001022,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000105,GT007658,True,,,EVT0010,Standing,False,False,False,False,False,False,False,False,False
TXN000106,GT000322,False,USR003261,USR003261,EVT0035,Standing,False,False,False,False,False,False,False,False,True
TXN000107,GT005801,True,,USR000623,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000108,GT001436,True,,,EVT0004,Standing,False,False,False,False,False,False,False,False,True
TXN000109,GT002134,False,USR000316,USR000316,EVT0001,Seated,False,False,False,False,False,False,False,False,True
TXN000110,GT002894,True,,,EVT0011,Standing,False,False,False,False,False,False,False,False,False
TXN000111,GT005512,True,,,EVT0014,Seated,False,True,False,False,False,False,False,False,False
TXN000112,GT008158,True,,,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000113,GT009717,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000114,GT008052,True,,,EVT0012,Seated,False,False,False,False,True,False,False,False,False
TXN000115,GT002870,False,USR001571,USR001571,EVT0002,Standing,False,False,False,False,False,True,False,False,False
TXN000116,GT000191,False,USR003305,USR003305,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000117,GT009228,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000118,GT004580,True,,,EVT0002,Standing,False,False,False,False,False,False,True,False,False
TXN000119,GT005191,True,,USR004267,EVT0002,Standing,False,False,False,False,False,False,True,False,False
TXN000120,GT004566,True,,,EVT0001,Seated,False,False,False,False,False,False,True,False,False
TXN000121,GT007211,True,,,EVT0003,Seated,False,False,True,False,False,False,False,False,False
TXN000122,GT003293,True,,,EVT0003,Standing,False,False,False,False,False,False,False,True,False
TXN000123,GT000635,False,USR000929,USR000929,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000124,GT004853,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000125,GT008656,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000126,GT000905,True,,,EVT0001,Standing,False,False,False,True,False,False,False,False,False
TXN000127,GT006019,False,USR002942,USR002942,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000128,GT007295,False,USR000543,USR000543,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000129,GT006724,True,,,EVT0004,Standing,False,False,False,False,False,False,True,False,False
TXN000130,GT003612,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000131,GT000230,False,USR001905,USR001905,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000132,GT009811,False,USR001690,USR001690,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000133,GT004298,False,USR000212,USR000212,EVT0004,Standing,True,False,False,False,False,True,True,False,True
TXN000134,GT004510,True,,USR003142,EVT0002,Seated,False,False,False,False,False,False,False,False,True
TXN000135,GT004659,False,USR000447,USR000447,EVT0048,Standing,False,False,False,False,False,False,False,False,False
TXN000136,GT000435,False,USR003998,USR003998,EVT0001,Standing,False,False,True,False,False,False,False,False,False
TXN000137,GT008141,True,,USR001074,EVT0001,Standing,True,False,False,False,False,False,False,False,False
TXN000138,GT009564,True,,,EVT0003,Standing,False,True,False,False,False,False,False,False,False
TXN000139,GT006155,True,,USR000807,EVT0029,Seated,False,False,False,False,False,True,False,False,False
TXN000140,GT002511,True,,,EVT0002,Standing,False,False,True,False,False,False,False,True,False
TXN000141,GT004170,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000142,GT006944,True,,USR003681,EVT0001,Standing,False,False,False,False,False,False,False,False,True
TXN000143,GT007628,True,,,EVT0005,Seated,False,False,False,False,False,False,False,False,False
TXN000144,GT009245,True,,,EVT0002,Seated,False,False,False,False,False,False,False,False,False
TXN000145,GT009999,False,USR002740,USR002740,EVT0010,Standing,False,False,False,False,False,False,False,False,False
TXN000146,GT004159,False,USR003075,USR003075,EVT0004,Standing,False,False,False,False,False,False,False,False,False
TXN000147,GT009636,False,USR002049,USR002049,EVT0001,Seated,False,False,False,False,False,True,False,False,False
TXN000148,GT007779,False,USR002413,USR002413,EVT0007,Standing,False,False,False,False,False,False,False,False,False
TXN000149,GT001611,False,USR002769,USR002769,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000150,GT005064,False,USR002550,USR002550,EVT0001,Standing,False,False,False,False,False,False,False,False,True
TXN000151,GT007129,True,,,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000152,GT003132,True,,,EVT0048,Standing,False,False,False,False,False,False,False,False,False
TXN000153,GT002419,False,USR002891,USR002891,EVT0011,Standing,False,False,False,False,False,False,False,False,False
TXN000154,GT005948,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000155,GT000306,False,USR000008,USR000008,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000156,GT005359,False,USR003909,USR003909,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000157,GT008141,True,,USR001074,EVT0011,Standing,False,False,False,False,False,False,False,False,False
TXN000158,GT005619,True,,USR002808,EVT0002,Standing,False,False,False,False,False,False,False,False,True
TXN000159,GT003561,True,,,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000160,GT004790,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000161,GT000400,False,USR003302,USR003302,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000162,GT009186,False,USR003048,USR003048,EVT0004,Standing,False,False,False,False,False,False,False,True,False
TXN000163,GT007941,False,USR004019,USR004019,EVT0009,Seated,False,False,False,False,False,False,False,False,False
TXN000164,GT009512,False,USR001736,USR001736,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000165,GT003955,False,USR000642,USR000642,EVT0004,Standing,False,False,False,False,False,False,False,False,False
TXN000166,GT001035,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000167,GT006109,False,USR000991,USR000991,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000168,GT006239,False,USR002036,USR002036,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000169,GT003632,False,USR000288,USR000288,EVT0021,Seated,False,False,False,False,False,False,False,False,False
TXN000170,GT008221,True,,,EVT0050,Seated,False,False,False,False,True,False,False,False,False
TXN000171,GT007406,True,,USR003686,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000172,GT008578,True,,,EVT0035,Standing,False,False,False,False,False,False,False,False,True
TXN000173,GT002988,False,USR003901,USR003901,EVT0005,Seated,False,False,False,False,False,False,False,True,False
TXN000174,GT009446,True,,USR001811,EVT0002,Standing,False,False,True,False,False,False,False,False,False
TXN000175,GT005071,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000176,GT007269,False,USR003237,USR003237,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000177,GT009877,True,,USR002826,EVT0001,Standing,False,False,True,False,False,False,False,False,False
TXN000178,GT000337,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000179,GT004357,True,,,EVT0047,Seated,False,False,True,False,False,False,False,False,False
TXN000180,GT002045,True,,,EVT0004,Standing,False,True,False,False,True,False,False,False,False
TXN000181,GT005268,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000182,GT003526,True,,,EVT0020,Standing,False,False,False,False,False,False,True,False,False
TXN000183,GT006233,False,USR002552,USR002552,EVT0011,Seated,False,False,False,False,False,False,False,False,False
TXN000184,GT005751,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000185,GT004720,False,USR001496,USR001496,EVT0001,Seated,False,False,False,False,False,False,False,False,True
TXN000186,GT000980,True,,USR002482,EVT0008,Standing,False,False,False,False,False,False,False,False,True
TXN000187,GT001068,True,,,EVT0026,Standing,False,False,False,False,False,False,False,False,True
TXN000188,GT007544,False,USR003563,USR003563,EVT0011,Standing,False,False,False,False,False,False,False,False,False
TXN000189,GT000704,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000190,GT003477,True,,,EVT0013,Standing,False,False,True,False,False,False,False,False,False
TXN000191,GT007012,False,USR002486,USR002486,EVT0011,Seated,False,False,False,False,False,True,False,False,False
TXN000192,GT006478,True,,,EVT0030,Standing,False,False,False,False,False,False,False,False,False
TXN000193,GT001928,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000194,GT002895,True,,,EVT0002,Standing,False,False,False,False,False,False,True,False,False
TXN000195,GT003565,True,,USR003398,EVT0025,Standing,False,False,True,False,False,False,False,False,False
TXN000196,GT005821,True,,,EVT0003,Seated,False,False,False,False,False,True,False,False,False
TXN000197,GT008304,False,USR001586,USR001586,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000198,GT002529,False,USR000106,USR000106,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000199,GT002014,False,USR002247,USR002247,EVT0009,Standing,False,False,True,False,False,False,False,False,False
TXN000200,GT008914,True,,USR003556,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000201,GT007494,True,,,EVT0003,Seated,False,False,False,False,False,False,False,False,False
TXN000202,GT004315,True,,USR002475,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000203,GT009664,True,,,EVT0032,Standing,False,False,False,False,False,False,False,False,False
TXN000204,GT009279,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000205,GT000728,True,,USR000632,EVT0001,Seated,False,False,False,False,False,False,True,False,False
TXN000206,GT005518,True,,,EVT0002,Seated,False,True,False,False,False,True,False,False,False
TXN000207,GT006033,True,,,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000208,GT008668,True,,,EVT0001,Standing,False,True,False,False,False,False,False,False,False
TXN000209,GT006001,False,USR002368,USR002368,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000210,GT009169,False,USR000409,USR000409,EVT0017,Seated,False,True,False,False,False,False,False,False,False
TXN000211,GT006818,True,,USR003466,EVT0002,Seated,False,False,False,False,False,False,False,False,False
TXN000212,GT004150,False,USR003197,USR003197,EVT0010,Standing,False,False,False,False,False,False,False,False,False
TXN000213,GT007057,False,USR001203,USR001203,EVT0001,Standing,False,False,False,False,False,False,True,False,False
TXN000214,GT009574,False,USR002602,USR002602,EVT0008,Standing,False,False,False,False,False,False,True,False,False
TXN000215,GT001641,False,USR003144,USR003144,EVT0005,Seated,False,False,False,False,False,False,False,False,False
TXN000216,GT002178,False,USR001475,USR001475,EVT0003,Seated,False,False,False,False,False,False,False,False,False
TXN000217,GT002346,True,,,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000218,GT003542,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000219,GT003132,True,,,EVT0005,Seated,False,False,False,False,False,False,True,False,False
TXN000220,GT008391,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000221,GT001304,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,True
TXN000222,GT007040,False,USR000502,USR000502,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000223,GT008132,False,USR004020,USR004020,EVT0001,Standing,False,False,False,False,False,False,True,False,False
TXN000224,GT005943,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000225,GT006712,True,,,EVT0005,Seated,False,False,True,False,False,False,False,False,False
TXN000226,GT006935,True,,,EVT0040,Seated,False,False,False,False,False,False,False,False,False
TXN000227,GT005032,False,USR001240,USR001240,EVT0002,Seated,False,False,False,False,False,False,False,False,False
TXN000228,GT007186,True,,,EVT0001,Seated,False,False,False,False,True,False,False,False,False
TXN000229,GT004191,False,USR002129,USR002129,EVT0002,Seated,False,False,False,False,False,False,False,False,False
TXN000230,GT008558,False,USR002667,USR002667,EVT0001,Standing,False,False,True,False,False,False,False,False,False
TXN000231,GT005666,True,,,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000232,GT001337,True,,USR002289,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000233,GT007340,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000234,GT006275,False,USR003622,USR003622,EVT0018,Standing,False,False,False,False,False,False,False,False,False
TXN000235,GT002088,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000236,GT009234,False,USR002030,USR002030,EVT0013,Standing,False,False,False,False,False,False,False,False,False
TXN000237,GT007489,False,USR002747,USR002747,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000238,GT008479,True,,,EVT0001,Seated,False,False,False,False,False,True,False,False,False
TXN000239,GT000534,False,USR001674,USR001674,EVT0002,Seated,False,False,False,False,False,False,False,False,False
TXN000240,GT001198,False,USR004158,USR004158,EVT0010,Standing,False,False,False,False,False,False,False,False,False
TXN000241,GT000041,True,,USR003024,EVT0005,Seated,False,False,False,False,False,False,False,False,False
TXN000242,GT006665,False,USR000860,USR000860,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000243,GT006950,True,,,EVT0001,Seated,False,False,False,True,False,False,False,False,False
TXN000244,GT008057,True,,USR000005,EVT0017,Seated,False,False,True,False,False,False,False,False,False
TXN000245,GT009634,True,,USR004177,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000246,GT009161,True,,,EVT0001,Seated,False,False,False,False,False,False,True,False,False
TXN000247,GT004869,False,USR002574,USR002574,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000248,GT006067,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000249,GT001568,True,,,EVT0009,Standing,False,False,False,False,False,False,False,False,False
TXN000250,GT005338,True,,,EVT0001,Seated,False,False,False,False,False,True,True,False,False
TXN000251,GT009195,True,,USR001697,EVT0011,Standing,False,False,False,False,False,False,False,False,False
TXN000252,GT005678,True,,USR001440,EVT0001,Seated,False,True,True,False,False,False,False,False,False
TXN000253,GT002525,False,USR002431,USR002431,EVT0035,Standing,False,False,False,False,False,False,False,False,False
TXN000254,GT005423,True,,,EVT0015,Standing,False,False,True,False,False,False,False,False,False
TXN000255,GT006225,True,,,EVT0001,Standing,False,True,False,False,False,False,False,False,False
TXN000256,GT001270,False,USR002875,USR002875,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000257,GT005930,True,,,EVT0001,Standing,False,True,False,False,False,False,False,False,False
TXN000258,GT007094,True,,USR002748,EVT0032,Seated,False,False,False,False,False,True,False,False,False
TXN000259,GT003146,True,,,EVT0019,Standing,False,False,False,False,False,False,False,False,False
TXN000260,GT008958,False,USR002009,USR002009,EVT0001,Standing,False,False,False,False,False,True,False,False,False
TXN000261,GT001646,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000262,GT006774,False,USR000889,USR000889,EVT0003,Standing,False,False,False,False,False,False,True,False,True
TXN000263,GT002973,False,USR000175,USR000175,EVT0036,Seated,False,False,False,False,False,False,False,False,False
TXN000264,GT003863,True,,,EVT0001,Seated,False,False,False,False,False,False,True,False,False
TXN000265,GT005921,True,,,EVT0002,Seated,False,False,False,False,False,False,False,False,True
TXN000266,GT000655,False,USR001289,USR001289,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000267,GT007034,False,USR000480,USR000480,EVT0015,Standing,False,False,False,False,False,False,False,False,False
TXN000268,GT008709,False,USR000388,USR000388,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000269,GT005819,True,,,EVT0001,Seated,False,False,False,False,False,True,False,False,False
TXN000270,GT002838,False,USR004175,USR004175,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000271,GT001158,False,USR001335,USR001335,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000272,GT009456,True,,USR002468,EVT0001,Standing,False,True,False,False,False,True,False,False,False
TXN000273,GT008035,False,USR003785,USR003785,EVT0009,Standing,False,False,True,False,False,False,False,False,False
TXN000274,GT005862,False,USR001027,USR001027,EVT0034,Standing,False,False,False,False,False,False,False,True,False
TXN000275,GT001602,False,USR002240,USR002240,EVT0001,Seated,False,False,False,False,False,True,False,False,True
TXN000276,GT003172,True,,,EVT0029,Seated,False,False,False,False,False,False,False,False,False
TXN000277,GT006684,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000278,GT004579,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000279,GT004968,True,,,EVT0001,Seated,False,False,False,False,False,False,True,False,False
TXN000280,GT007032,True,,USR001326,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000281,GT005470,True,,,EVT0001,Seated,False,False,False,False,False,True,False,False,False
TXN000282,GT001296,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000283,GT007323,True,,,EVT0001,Standing,True,False,False,False,False,True,False,False,False
TXN000284,GT006384,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000285,GT001680,True,,,EVT0002,Standing,False,True,True,False,False,False,False,False,False
TXN000286,GT002268,True,,,EVT0024,Standing,False,True,False,False,False,False,False,False,False
TXN000287,GT000779,False,USR004098,USR004098,EVT0009,Standing,False,False,False,False,False,False,False,False,False
TXN000288,GT001711,True,,,EVT0001,Standing,False,False,True,False,False,False,False,False,False
TXN000289,GT007694,True,,,EVT0005,Seated,False,False,False,False,False,False,False,False,False
TXN000290,GT003162,True,,USR000823,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000291,GT002344,True,,,EVT0018,Standing,False,True,False,False,False,False,False,False,False
TXN000292,GT004399,True,,,EVT0010,Standing,False,False,False,False,False,False,False,False,False
TXN000293,GT001349,False,USR001253,USR001253,EVT0006,Standing,True,False,False,False,False,False,False,False,False
TXN000294,GT001968,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000295,GT000215,True,,,EVT0002,Standing,False,False,False,False,False,False,False,False,False
