ground_truth_id,evaluation_split
GT000491,calibration
GT000492,calibration
GT000493,evaluation
GT000494,calibration
GT000495,calibration
GT000496,calibration
GT000497,evaluation
GT000498,calibration
GT000499,evaluation
GT000500,calibration
GT000501,calibration
GT000502,evaluation
GT000503,calibration
GT000504,evaluation
GT000505,calibration
GT000506,calibration
GT000507,calibration
GT000508,evaluation
GT000509,calibration
GT000510,calibration
GT000511,evaluation
GT000512,calibration
GT000513,calibration
GT000514,evaluation
GT000515,calibration
GT000516,calibration
GT000517,evaluation
GT000518,calibration
GT000519,evaluation
GT000520,calibration
GT000521,calibration
GT000522,calibration
GT000523,evaluation
GT000524,calibration
GT000525,calibration
GT000526,calibration
GT000527,calibration
GT000528,calibration
GT000529,evaluation
GT000530,calibration
GT000531,evaluation
GT000532,calibration
GT000533,calibration
GT000534,evaluation
GT000535,calibration
GT000536,calibration
GT000537,calibration
GT000538,calibration
GT000539,evaluation
GT000540,calibration
GT000541,calibration
GT000542,calibration
GT000543,evaluation
GT000544,calibration
GT000545,evaluation
GT000546,calibration
GT000547,evaluation
GT000548,calibration
GT000549,calibration
GT000550,calibration
GT000551,calibration
GT000552,calibration
GT000553,calibration
GT000554,calibration
GT000555,evaluation
GT000556,calibration
GT000557,calibration
GT000558,calibration
GT000559,calibration
GT000560,evaluation
GT000561,calibration
GT000562,calibration
GT000563,calibration
GT000564,calibration
GT000565,evaluation
GT000566,calibration
GT000567,calibration
GT000568,calibration
GT000569,calibration
GT000570,calibration
GT000571,calibration
GT000572,calibration
GT000573,calibration
GT000574,evaluation
GT000575,calibration
GT000576,calibration
GT000577,calibration
GT000578,calibration
GT000579,evaluation
GT000580,calibration
GT000581,calibration
GT000582,calibration
GT000583,calibration
GT000584,calibration
GT000585,calibration
GT000586,calibration
GT000587,calibration
GT000588,calibration
GT000589,calibration
GT000590,calibration
GT000591,calibration
GT000592,calibration
GT000593,calibration
GT000594,calibration
GT000595,calibration
GT000596,calibration
GT000597,evaluation
GT000598,calibration
GT000599,evaluation
GT000600,calibration
GT000601,calibration
GT000602,calibration
GT000603,calibration
GT000604,calibration
GT000605,evaluation
GT000606,evaluation
GT000607,evaluation
GT000608,evaluation
GT000609,calibration
GT000610,evaluation
GT000611,evaluation
GT000612,calibration
GT000613,evaluation
GT000614,evaluation
GT000615,evaluation
GT000616,evaluation
GT000617,evaluation
GT000618,evaluation
GT000619,calibration
GT000620,calibration
GT000621,calibration
GT000622,calibration
GT000623,calibration
GT000624,calibration
GT000625,evaluation
GT000626,calibration
GT000627,evaluation
GT000628,calibration
GT000629,calibration
GT000630,calibration
GT000631,evaluation
GT000632,calibration
GT000633,calibration
GT000634,calibration
GT000635,evaluation
GT000636,evaluation
GT000637,calibration
GT000638,calibration
GT000639,evaluation
GT000640,calibration
GT000641,calibration
GT000642,calibration
GT000643,evaluation
GT000644,calibration
GT000645,calibration
GT000646,calibration
GT000647,calibration
GT000648,evaluation
GT000649,calibration
GT000650,evaluation
GT000651,evaluation
GT000652,calibration
GT000653,calibration
GT000654,evaluation
GT000655,evaluation
GT000656,evaluation
GT000658,calibration
GT000659,calibration
GT000660,calibration
GT000661,evaluation
GT000662,calibration
GT000663,evaluation
GT000664,calibration
GT000665,calibration
GT000666,calibration
GT000667,evaluation
GT000668,calibration
GT000669,evaluation
GT000670,evaluation
GT000671,calibration
GT000672,calibration
GT000673,calibration
GT000674,calibration
GT000675,evaluation
GT000676,calibration
GT000677,calibration
GT000678,calibration
GT000679,calibration
GT000680,evaluation
GT000681,calibration
GT000682,evaluation
GT000683,calibration
GT000684,calibration
GT000685,calibration
GT000686,calibration
GT000687,evaluation
GT000688,calibration
GT000689,calibration
GT000690,calibration
GT000691,calibration
GT000692,calibration
GT000693,calibration
GT000694,calibration
GT000695,anonymous_only
GT000696,evaluation
GT000697,evaluation
GT000698,calibration
GT000699,calibration
GT000700,calibration
GT000701,calibration
GT000702,calibration
GT000703,calibration
GT000704,evaluation
GT000705,calibration
GT000706,calibration
GT000707,calibration
GT000708,calibration
GT000709,calibration
GT000710,calibration
GT000711,calibration
GT000712,calibration
GT000713,evaluation
GT000714,calibration
GT000715,calibration
GT000716,calibration
GT000717,evaluation
GT000718,calibration
GT000719,calibration
GT000720,calibration
GT000721,evaluation
GT000722,evaluation
GT000723,calibration
GT000724,evaluation
GT000725,calibration
GT000726,evaluation
GT000727,calibration
GT000728,evaluation
GT000729,calibration
GT000730,calibration
GT000731,calibration
GT000732,calibration
GT000733,evaluation
GT000734,calibration
GT000735,calibration
GT000736,calibration
GT000737,evaluation
GT000738,evaluation
GT000739,calibration
GT000740,calibration
GT000741,calibration
GT000742,calibration
GT000743,evaluation
GT000744,calibration
GT000745,evaluation
GT000746,calibration
GT000747,calibration
GT000748,evaluation
GT000749,calibration
GT000750,calibration
GT000751,calibration
GT000752,calibration
GT000753,evaluation
GT000754,calibration
GT000755,evaluation
GT000756,evaluation
GT000757,calibration
GT000758,calibration
GT000759,calibration
GT000760,evaluation
GT000761,evaluation
GT000762,calibration
GT000763,calibration
GT000764,evaluation
GT000765,calibration
GT000766,calibration
GT000767,calibration
GT000768,evaluation
GT000769,calibration
GT000770,calibration
GT000771,calibration
GT000772,calibration
GT000773,evaluation
GT000774,calibration
GT000775,calibration
GT000776,evaluation
GT000777,calibration
GT000778,calibration
GT000779,calibration
GT000780,calibration
GT000781,anonymous_only
GT000782,calibration
GT000783,evaluation
GT000784,calibration
GT000785,calibration
GT000786,calibration
GT000787,calibration
GT000788,calibration
GT000789,calibration
GT000790,calibration
GT000791,calibration
GT000792,calibration
GT000793,evaluation
GT000794,evaluation
GT000795,evaluation
GT000796,calibration
GT000797,calibration
GT000798,calibration
GT000799,calibration
GT000800,calibration
GT000801,evaluation
GT000802,calibration
GT000803,calibration
GT000804,evaluation
GT000805,evaluation
GT000806,anonymous_only
GT000807,calibration
GT000808,calibration
GT000809,calibration
GT000810,calibration
GT000811,calibration
GT000812,calibration
GT000813,evaluation
GT000814,calibration
GT000815,calibration
GT000816,evaluation
GT000817,calibration
GT000818,calibration
GT000819,calibration
GT000820,evaluation
GT000821,calibration
GT000822,calibration
GT000823,calibration
GT000824,calibration
GT000825,calibration
GT000826,calibration
GT000827,calibration
GT000828,evaluation
GT000829,calibration
GT000830,calibration
GT000831,calibration
GT000832,calibration
GT000833,evaluation
GT000834,evaluation
GT000835,evaluation
GT000836,evaluation
GT000837,calibration
GT000838,calibration
GT000839,evaluation
GT000840,anonymous_only
GT000841,calibration
GT000842,evaluation
GT000843,calibration
GT000844,calibration
GT000845,calibration
GT000846,evaluation
GT000847,calibration
GT000848,calibration
GT000849,calibration
GT000850,calibration
GT000851,evaluation
GT000852,calibration
GT000853,calibration
GT000854,calibration
GT000855,evaluation
GT000856,evaluation
GT000857,calibration
GT000858,calibration
GT000859,evaluation
GT000860,evaluation
GT000861,calibration
GT000862,calibration
GT000863,calibration
GT000864,calibration
GT000865,calibration
GT000866,calibration
GT000867,evaluation
GT000868,evaluation
GT000869,calibration
GT000870,calibration
GT000871,evaluation
GT000872,evaluation
GT000873,calibration
GT000874,calibration
GT000875,evaluation
GT000876,calibration
GT000877,calibration
GT000878,calibration
GT000879,calibration
GT000880,calibration
GT000881,calibration
GT000882,calibration
GT000883,evaluation
GT000884,calibration
GT000885,calibration
GT000886,evaluation
GT000887,calibration
GT000888,calibration
GT000889,calibration
GT000890,evaluation
GT000891,calibration
GT000892,evaluation
GT000893,anonymous_only
GT000894,evaluation
GT000895,evaluation
GT000896,calibration
GT000897,calibration
GT000898,calibration
GT000899,calibration
GT000900,calibration
GT000901,calibration
GT000902,evaluation
GT000903,evaluation
GT000904,calibration
GT000905,calibration
GT000906,calibration
GT000907,calibration
GT000908,evaluation
GT000909,evaluation
GT000910,calibration
GT000911,calibration
GT000912,anonymous_only
GT000913,evaluation
GT000914,calibration
GT000915,calibration
GT000916,evaluation
GT000917,calibration
GT000918,calibration
GT000919,calibration
GT000920,calibration
GT000921,calibration
GT000922,calibration
GT000923,calibration
GT000924,calibration
GT000925,calibration
GT000926,calibration
GT000927,calibration
GT000928,calibration
GT000929,calibration
GT000930,calibration
GT000931,calibration
GT000932,evaluation
GT000933,calibration
GT000934,calibration
GT000935,evaluation
GT000936,evaluation
GT000937,calibration
GT000938,evaluation
GT000939,calibration
GT000940,evaluation
GT000941,calibration
GT000942,calibration
GT000943,calibration
GT000944,calibration
GT000945,calibration
GT000946,calibration
GT000947,evaluation
GT000948,evaluation
GT000949,calibration
GT000950,calibration
GT000951,calibration
GT000952,evaluation
GT000953,calibration
GT000954,calibration
GT000955,evaluation
GT000956,calibration
GT000957,calibration
GT000958,calibration
GT000959,calibration
GT000960,calibration
GT000961,calibration
GT000962,calibration
GT000963,calibration
GT000964,calibration
GT000965,evaluation
GT000966,calibration
GT000967,calibration
GT000968,evaluation
GT000969,calibration
GT000970,calibration
GT000971,calibration
GT000972,calibration
GT000973,calibration
GT000974,evaluation
GT000975,calibration
GT000976,evaluation
GT000977,evaluation
GT000978,calibration
GT000979,calibration
GT000980,evaluation
GT000981,calibration
GT000982,calibration
GT000983,calibration
GT000984,evaluation
GT000985,calibration
GT000986,calibration
GT000987,evaluation
GT000988,calibration
GT000989,evaluation
GT000990,calibration
GT000991,calibration
GT000992,calibration
GT000993,evaluation
GT000994,calibration
GT000995,calibration
GT000996,calibration
GT000997,calibration
GT000998,evaluation
GT000999,calibration
GT001000,calibration
GT001001,calibration
GT001002,evaluation
GT001003,calibration
GT001004,calibration
GT001005,calibration
GT001006,calibration
GT001007,calibration
GT001008,evaluation
GT001009,evaluation
GT001010,calibration
GT001011,calibration
GT001012,evaluation
GT001013,calibration
GT001014,evaluation
GT001015,calibration
GT001016,calibration
GT001017,calibration
GT001018,calibration
GT001019,evaluation
GT001020,calibration
GT001021,calibration
GT001022,calibration
GT001023,calibration
GT001024,calibration
GT001025,calibration
GT001026,calibration
GT001027,calibration
GT001028,calibration
GT001029,evaluation
GT001030,calibration
GT001031,calibration
GT001032,calibration
GT001033,evaluation
GT001034,calibration
GT001035,calibration
GT001036,evaluation
GT001037,calibration
GT001038,calibration
GT001039,calibration
GT001040,calibration
GT001041,evaluation
GT001042,evaluation
GT001043,calibration
GT001044,calibration
GT001045,evaluation
GT001046,calibration
GT001047,calibration
GT001048,calibration
GT001049,evaluation
GT001050,calibration
GT001051,evaluation
GT001052,calibration
GT001053,calibration
GT001054,calibration
GT001055,calibration
GT001056,evaluation
GT001057,evaluation
GT001058,calibration
GT001059,evaluation
GT001060,calibration
GT001061,calibration
GT001062,calibration
GT001063,calibration
GT001064,calibration
GT001065,evaluation
GT001066,calibration
GT001067,evaluation
GT001068,evaluation
GT001069,calibration
GT001070,evaluation
GT001071,calibration
GT001072,calibration
GT001073,evaluation
GT001074,calibration
GT001075,calibration
GT001076,calibration
GT001077,calibration
GT001078,calibration
GT001079,evaluation
GT001080,calibration
GT001081,calibration
GT001082,calibration
GT001083,calibration
GT001084,calibration
GT001085,calibration
GT001086,evaluation
GT001087,evaluation
GT001088,calibration
GT001089,calibration
GT001090,calibration
GT001091,calibration
GT001092,evaluation
GT001093,calibration
GT001094,calibration
GT001095,evaluation
GT001096,evaluation
GT001097,calibration
GT001098,calibration
GT001099,calibration
GT001100,evaluation
GT001101,evaluation
GT001102,calibration
GT001103,calibration
GT001104,calibration
GT001105,anonymous_only
GT001106,evaluation
GT001107,calibration
GT001108,calibration
GT001109,calibration
GT001110,calibration
GT001111,evaluation
GT001112,calibration
GT001113,calibration
GT001114,evaluation
GT001115,evaluation
GT001116,evaluation
GT001117,calibration
GT001118,evaluation
GT001119,calibration
GT001120,calibration
GT001121,evaluation
GT001122,calibration
GT001123,evaluation
GT001124,calibration
GT001125,evaluation
GT001126,evaluation
GT001127,calibration
GT001128,calibration
GT001129,calibration
GT001130,evaluation
GT001131,calibration
GT001132,calibration
GT001133,calibration
GT001134,calibration
GT001135,evaluation
GT001136,calibration
GT001137,calibration
GT001138,evaluation
GT001139,evaluation
GT001140,calibration
GT001141,evaluation
GT001142,calibration
GT001143,evaluation
GT001144,evaluation
GT001145,calibration
GT001146,evaluation
GT001147,calibration
GT001148,evaluation
GT001149,calibration
GT001150,evaluation
GT001151,calibration
GT001152,calibration
GT001153,calibration
GT001154,evaluation
GT001155,calibration
GT001156,evaluation
GT001157,evaluation
GT001158,calibration
GT001159,calibration
GT001160,evaluation
GT001161,calibration
GT001162,evaluation
GT001163,evaluation
GT001164,evaluation
GT001165,calibration
GT001166,calibration
GT001167,calibration
GT001168,evaluation
GT001169,calibration
GT001170,calibration
GT001171,evaluation
GT001172,calibration
GT001173,calibration
GT001174,calibration
GT001175,calibration
GT001176,calibration
GT001177,evaluation
GT001178,calibration
GT001179,calibration
GT001180,evaluation
GT001181,calibration
GT001182,calibration
GT001183,evaluation
GT001184,calibration
GT001185,calibration
GT001186,evaluation
GT001187,calibration
GT001188,calibration
GT001189,calibration
GT001190,evaluation
GT001191,calibration
GT001192,calibration
GT001193,evaluation
GT001194,calibration
GT001195,calibration
GT001196,calibration
GT001197,anonymous_only
GT001198,evaluation
GT001199,evaluation
GT001200,evaluation
GT001201,calibration
GT001202,calibration
GT001203,calibration
GT001204,calibration
GT001205,calibration
GT001206,evaluation
GT001207,calibration
GT001208,calibration
GT001209,calibration
GT001210,calibration
GT001211,evaluation
GT001212,calibration
GT001213,evaluation
GT001214,calibration
GT001215,calibration
GT001216,calibration
GT001217,evaluation
GT001218,evaluation
GT001219,calibration
GT001220,calibration
GT001221,calibration
GT001222,evaluation
GT001223,calibration
GT001224,calibration
GT001225,calibration
GT001226,calibration
GT001227,calibration
GT001228,evaluation
GT001229,calibration
GT001230,calibration
GT001231,evaluation
GT001232,calibration
GT001233,evaluation
GT001234,calibration
GT001235,calibration
GT001236,calibration
GT001237,evaluation
GT001238,evaluation
GT001239,calibration
GT001240,evaluation
GT001241,calibration
GT001242,calibration
GT001243,evaluation
GT001244,calibration
GT001245,evaluation
GT001246,calibration
GT001247,evaluation
GT001248,calibration
GT001249,calibration
GT001250,evaluation
GT001251,evaluation
GT001252,evaluation
GT001253,evaluation
GT001254,calibration
GT001255,evaluation
GT001256,calibration
GT001257,calibration
GT001258,evaluation
GT001259,calibration
GT001260,calibration
GT001261,calibration
GT001262,calibration
GT001263,evaluation
GT001264,calibration
GT001265,calibration
GT001266,evaluation
GT001267,calibration
GT001268,calibration
GT001269,evaluation
GT001270,calibration
GT001271,evaluation
GT001272,evaluation
GT001273,calibration
GT001274,calibration
GT001275,evaluation
GT001276,calibration
GT001277,evaluation
GT001278,calibration
GT001279,calibration
GT001280,calibration
GT001281,evaluation
GT001282,evaluation
GT001283,calibration
GT001284,calibration
GT001285,calibration
GT001286,calibration
GT001287,evaluation
GT001288,evaluation
GT001289,calibration
GT001290,calibration
GT001291,calibration
GT001292,calibration
GT001293,evaluation
GT001294,calibration
GT001295,calibration
GT001296,calibration
GT001297,calibration
GT001298,calibration
GT001299,calibration
GT001300,calibration
GT001301,calibration
GT001302,calibration
GT001303,calibration
GT001304,calibration
GT001305,calibration
GT001306,evaluation
GT001307,calibration
GT001308,evaluation
GT001309,evaluation
GT001310,calibration
GT001311,evaluation
GT001312,evaluation
GT001313,calibration
GT001314,calibration
GT001315,calibration
GT001316,evaluation
GT001317,calibration
GT001318,calibration
GT001319,calibration
GT001320,calibration
GT001321,calibration
GT001322,calibration
GT001323,evaluation
GT001324,calibration
GT001325,evaluation
GT001326,evaluation
GT001327,calibration
GT001328,calibration
GT001329,evaluation
GT001330,evaluation
GT001331,calibration
GT001332,calibration
GT001333,evaluation
GT001334,calibration
GT001335,evaluation
GT001336,calibration
GT001337,calibration
GT001338,evaluation
GT001339,calibration
GT001340,calibration
GT001341,evaluation
GT001342,calibration
GT001343,calibration
GT001344,evaluation
GT001345,calibration
GT001346,calibration
GT001347,calibration
GT001348,evaluation
GT001349,evaluation
GT001350,calibration
GT001351,calibration
GT001352,calibration
GT001353,evaluation
GT001354,evaluation
GT001355,evaluation
GT001356,calibration
GT001357,calibration
GT001358,calibration
GT001359,evaluation
GT001360,calibration
GT001361,evaluation
GT001362,calibration
GT001363,calibration
GT001364,calibration
GT001365,evaluation
GT001366,evaluation
GT001367,calibration
GT001368,calibration
GT001369,calibration
GT001370,calibration
GT001371,evaluation
GT001372,calibration
GT001373,calibration
GT001374,calibration
GT001375,calibration
GT001376,calibration
GT001377,calibration
GT001378,calibration
GT001379,calibration
GT001380,anonymous_only
GT001381,calibration
GT001382,calibration
GT001383,calibration
GT001384,calibration
GT001385,calibration
GT001386,calibration
GT001387,calibration
GT001388,calibration
GT001389,calibration
GT001390,calibration
GT001391,calibration
GT001392,calibration
GT001393,evaluation
GT001394,evaluation
GT001395,calibration
GT001396,calibration
GT001397,evaluation
GT001398,calibration
GT001399,calibration
GT001400,evaluation
GT001401,calibration
GT001402,calibration
GT001403,calibration
GT001404,calibration
GT001405,anonymous_only
GT001406,evaluation
GT001407,calibration
GT001408,evaluation
GT001409,evaluation
GT001410,calibration
GT001411,evaluation
GT001412,calibration
GT001413,calibration
GT001414,calibration
GT001415,evaluation
GT001416,evaluation
GT001417,calibration
GT001418,evaluation
GT001419,calibration
GT001420,calibration
GT001421,calibration
GT001422,evaluation
GT001423,evaluation
GT001424,calibration
GT001425,calibration
GT001426,calibration
GT001427,calibration
GT001428,calibration
GT001429,calibration
GT001430,calibration
GT001431,calibration
GT001432,calibration
GT001433,calibration
GT001434,calibration
GT001435,calibration
GT001436,calibration
GT001437,calibration
GT001438,evaluation
GT001439,evaluation
GT001440,calibration
GT001441,calibration
GT001442,calibration
GT001443,calibration
GT001444,evaluation
GT001445,calibration
GT001446,calibration
GT001447,calibration
GT001448,calibration
GT001449,calibration
GT001450,calibration
GT001451,calibration
GT001452,calibration
GT001453,calibration
GT001454,evaluation
GT001455,calibration
GT001456,calibration
GT001457,evaluation
GT001458,evaluation
GT001459,calibration
GT001460,evaluation
GT001461,calibration
GT001462,anonymous_only
GT001463,evaluation
GT001464,evaluation
GT001465,calibration
GT001466,calibration
GT001467,calibration
GT001468,calibration
GT001469,anonymous_only
GT001470,calibration
GT001471,calibration
GT001472,calibration
GT001473,calibration
GT001474,calibration
GT001475,calibration
GT001476,calibration
GT001477,calibration
GT001478,calibration
GT001479,calibration
GT001480,calibration
GT001481,calibration
GT001482,anonymous_only
GT001484,calibration
GT001485,calibration
GT001486,evaluation
GT001487,calibration
GT001488,calibration
GT001489,calibration
GT001490,calibration
GT001491,calibration
GT001492,evaluation
GT001493,evaluation
GT001494,calibration
GT001495,calibration
GT001496,calibration
GT001497,calibration
GT001498,evaluation
GT001499,calibration
GT001500,evaluation
GT001501,calibration
