ground_truth_id,evaluation_split,record_count,source_systems,deterministic_cluster_count,evaluated_cluster_count,evaluated_cluster_ids
GT000369,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003931 | ECL009968
GT000381,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL005397 | ECL010103
GT000389,calibration,2,MARKETING | SUPPORT,2,2,ECL009935 | ECL010519
GT000393,calibration,5,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL008959 | ECL009877
GT000402,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000353 | ECL008370
GT000403,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002329 | ECL010083
GT000418,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007166 | ECL009666
GT000419,calibration,5,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008158 | ECL009930
GT000424,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL000185 | ECL009055
GT000431,evaluation,3,CRM | ECOMMERCE | MARKETING,2,2,ECL001968 | ECL009301
GT000447,evaluation,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001788 | ECL010554
GT000459,calibration,3,MARKETING | SUPPORT,2,2,ECL010120 | ECL010505
GT000474,calibration,5,CRM | MARKETING,2,2,ECL000058 | ECL009555
GT000522,calibration,7,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL000739 | ECL010614
GT000526,calibration,3,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008843 | ECL009547
GT000527,calibration,5,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008288 | ECL009639
GT000581,calibration,5,CRM | MARKETING | SUPPORT,2,2,ECL006780 | ECL009535
GT000611,evaluation,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003398 | ECL009650
GT000660,calibration,2,ECOMMERCE | SUPPORT,2,2,ECL008620 | ECL010563
GT000663,evaluation,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002144 | ECL010567
GT000675,evaluation,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003457 | ECL009581
GT000712,calibration,7,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007874 | ECL010601
GT000717,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006795 | ECL009845
GT000718,calibration,9,CRM | MARKETING | ONLINE,2,2,ECL002091 | ECL009730
GT000736,calibration,16,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005640 | ECL009702
GT000743,evaluation,3,CRM | ECOMMERCE | MARKETING,2,2,ECL000363 | ECL010228
GT000751,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL007294 | ECL010483
GT000759,calibration,8,CRM | MARKETING | ONLINE,2,2,ECL004208 | ECL010269
GT000789,calibration,2,MARKETING | SUPPORT,2,2,ECL009983 | ECL010573
GT000794,evaluation,5,CRM | MARKETING | SUPPORT,2,2,ECL000241 | ECL010580
GT000797,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005238 | ECL009497
GT000845,calibration,8,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL002992 | ECL010211
GT000855,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001568 | ECL010089
GT000857,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004804 | ECL010204
GT000872,evaluation,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000323 | ECL010223
GT000875,evaluation,16,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000867 | ECL009849
GT000877,calibration,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006116 | ECL009693
GT000887,calibration,3,CRM | MARKETING,2,2,ECL000184 | ECL009925
GT000925,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002950 | ECL010616
GT000949,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL001724 | ECL009972
GT000959,calibration,4,ECOMMERCE | MARKETING | SUPPORT,3,3,ECL009242 | ECL009986 | ECL010585
GT000961,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000924 | ECL010477
GT000966,calibration,2,ECOMMERCE | MARKETING,2,2,ECL008952 | ECL010398
GT000973,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001897 | ECL010531
GT000980,evaluation,16,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004446 | ECL009997
GT000992,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002666 | ECL008822
GT001004,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL004055 | ECL009957
GT001029,evaluation,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006123 | ECL009682
GT001039,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001166 | ECL010242
GT001057,evaluation,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007700 | ECL008772
GT001062,calibration,7,ECOMMERCE | MARKETING | ONLINE,2,2,ECL007975 | ECL008096
GT001066,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000262 | ECL010540
GT001068,evaluation,3,CRM | ECOMMERCE | MARKETING,2,2,ECL005867 | ECL010298
GT001083,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002799 | ECL010473
GT001087,evaluation,6,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL004396 | ECL010504
GT001097,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005052 | ECL009623
GT001106,evaluation,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006811 | ECL010113
GT001133,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL003643 | ECL010629
GT001147,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL004843 | ECL010406
GT001149,calibration,3,CRM | ECOMMERCE | MARKETING,3,3,ECL007613 | ECL009426 | ECL009802
GT001151,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006831 | ECL010003
GT001156,evaluation,8,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002493 | ECL010468
GT001159,calibration,3,ECOMMERCE | ONLINE | SUPPORT,2,2,ECL008618 | ECL010606
GT001162,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007248 | ECL010342
GT001184,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003049 | ECL009950
GT001185,calibration,5,CRM | MARKETING | SUPPORT,2,2,ECL000991 | ECL010475
GT001201,calibration,11,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL007120 | ECL010463
GT001232,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004885 | ECL009591
GT001234,calibration,4,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005318 | ECL010086
GT001244,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL005394 | ECL009524
GT001288,evaluation,17,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001006 | ECL010515
GT001311,evaluation,4,MARKETING | SUPPORT,3,3,ECL009517 | ECL010459 | ECL010581
GT001316,evaluation,4,MARKETING | SUPPORT,2,2,ECL009847 | ECL010507
GT001317,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL005463 | ECL009859
GT001341,evaluation,2,CRM | MARKETING,2,2,ECL006671 | ECL010341
GT001349,evaluation,14,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002283 | ECL010424
GT001350,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002369 | ECL010070
GT001372,calibration,15,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL006871 | ECL010576
GT001376,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003878 | ECL009966
GT001390,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002534 | ECL009914
GT001398,calibration,7,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL006746 | ECL010528
GT001421,calibration,6,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008232 | ECL009564
GT001427,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003663 | ECL010603
GT001430,calibration,7,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL000819 | ECL010600
GT001431,calibration,14,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007224 | ECL009939
GT001459,calibration,7,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002136 | ECL009509
GT001463,evaluation,5,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL008025 | ECL010458
GT001468,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005198 | ECL010456
GT001474,calibration,8,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL001047 | ECL010569
GT001494,calibration,5,MARKETING | SUPPORT,2,2,ECL010037 | ECL010478
GT001510,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL007520 | ECL009969
GT001575,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL006441 | ECL007925
GT001601,evaluation,2,CRM | MARKETING,2,2,ECL007624 | ECL009818
GT001605,evaluation,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002093 | ECL009881
GT001621,calibration,5,CRM | MARKETING | SUPPORT,2,2,ECL007481 | ECL010487
GT001624,calibration,7,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008060 | ECL010261
GT001630,evaluation,4,CRM | ECOMMERCE | MARKETING,2,2,ECL002713 | ECL009589
GT001631,calibration,4,CRM | MARKETING | ONLINE,2,2,ECL001208 | ECL010181
GT001633,evaluation,5,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008906 | ECL009772
GT001636,calibration,4,ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,3,ECL009494 | ECL010392 | ECL010641
GT001650,evaluation,3,CRM | ECOMMERCE | MARKETING,2,2,ECL004615 | ECL010154
GT001657,calibration,4,CRM | MARKETING | SUPPORT,4,4,ECL002034 | ECL009721 | ECL010493 | ECL010577
GT001673,evaluation,15,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003662 | ECL009575
GT001681,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007625 | ECL010156
GT001688,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004510 | ECL009601
GT001694,calibration,9,CRM | MARKETING | ONLINE,2,2,ECL003706 | ECL010401
GT001699,calibration,4,CRM | ECOMMERCE | SUPPORT,2,2,ECL005755 | ECL010635
GT001711,evaluation,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001103 | ECL009987
GT001716,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL003114 | ECL010063
GT001750,calibration,4,ECOMMERCE | MARKETING,2,2,ECL008757 | ECL010050
GT001762,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003524 | ECL009955
GT001792,calibration,2,MARKETING | SUPPORT,2,2,ECL010098 | ECL010517
GT001820,evaluation,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001772 | ECL010426
GT001821,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005719 | ECL009932
GT001830,evaluation,3,CRM | MARKETING | SUPPORT,2,2,ECL001747 | ECL010041
GT001854,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005099 | ECL010055
GT001861,evaluation,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002024 | ECL009662
GT001878,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004319 | ECL008058
GT001906,evaluation,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003667 | ECL009981
GT001928,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL001832 | ECL009672
GT001955,calibration,7,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL008218 | ECL008881
GT001956,calibration,4,CRM | MARKETING | SUPPORT,2,2,ECL003341 | ECL010536
GT001970,evaluation,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006859 | ECL009994
GT001971,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL004501 | ECL009916
GT001978,calibration,4,CRM | MARKETING | SUPPORT,2,2,ECL000860 | ECL009871
GT001988,evaluation,4,CRM | MARKETING | SUPPORT,2,2,ECL003933 | ECL010645
GT002006,evaluation,12,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000499 | ECL009607
GT002045,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007517 | ECL010092
GT002049,evaluation,4,ECOMMERCE | ONLINE | SUPPORT,2,2,ECL009363 | ECL010591
GT002059,calibration,5,CRM | MARKETING | ONLINE,2,2,ECL004913 | ECL009642
GT002061,calibration,2,CRM | MARKETING,2,2,ECL006416 | ECL010273
GT002089,calibration,3,ECOMMERCE | MARKETING,2,2,ECL008529 | ECL009737
GT002091,calibration,3,ECOMMERCE | MARKETING | ONLINE,2,2,ECL009482 | ECL010409
GT002097,evaluation,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002390 | ECL010028
GT002099,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002827 | ECL010372
GT002134,calibration,15,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000538 | ECL010539
GT002157,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004751 | ECL009512
GT002158,calibration,5,MARKETING,2,2,ECL009723 | ECL009947
GT002161,evaluation,2,MARKETING | SUPPORT,2,2,ECL009797 | ECL010572
GT002163,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,3,ECL004574 | ECL010495 | ECL010564
GT002180,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL006793 | ECL010428
GT002195,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL003636 | ECL010009
GT002202,evaluation,5,CRM | ECOMMERCE | MARKETING,2,2,ECL001746 | ECL010148
GT002227,calibration,4,ECOMMERCE | SUPPORT,2,2,ECL008735 | ECL010480
GT002245,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001556 | ECL010313
GT002291,evaluation,5,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008814 | ECL009813
GT002302,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL000044 | ECL010323
GT002308,evaluation,4,CRM | MARKETING | SUPPORT,2,2,ECL003429 | ECL010208
GT002316,calibration,4,CRM | MARKETING | SUPPORT,3,3,ECL000865 | ECL010006 | ECL010587
GT002322,calibration,9,CRM | MARKETING | ONLINE,2,2,ECL003439 | ECL010332
GT002338,calibration,2,MARKETING | SUPPORT,2,2,ECL010165 | ECL010471
GT002347,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL003428 | ECL010612
GT002357,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL000161 | ECL010550
GT002361,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000119 | ECL009860
GT002377,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001297 | ECL009941
GT002398,calibration,12,CRM | MARKETING | ONLINE,2,2,ECL002436 | ECL009638
GT002401,calibration,2,ECOMMERCE | MARKETING,2,2,ECL008220 | ECL009889
GT002434,evaluation,8,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008059 | ECL009717
GT002462,evaluation,4,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005173 | ECL010534
GT002487,evaluation,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001662 | ECL009852
GT002488,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005983 | ECL010455
GT002531,calibration,5,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007935 | ECL009958
GT002535,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL003921 | ECL010644
GT002586,evaluation,5,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL001369 | ECL010642
GT002602,evaluation,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007608 | ECL010377
GT002604,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL001180 | ECL009329
GT002629,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL004962 | ECL009959
GT002634,calibration,2,ECOMMERCE | MARKETING,2,2,ECL008426 | ECL009928
GT002635,calibration,3,ECOMMERCE | MARKETING,2,2,ECL007876 | ECL008219
GT002637,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL004225 | ECL010160
GT002638,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000649 | ECL010110
GT002639,evaluation,4,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL004218 | ECL010590
GT002655,evaluation,9,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL000386 | ECL010555
GT002663,evaluation,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL006624 | ECL010360
GT002672,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001636 | ECL010004
GT002675,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001573 | ECL007899
GT002684,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004838 | ECL009804
GT002729,calibration,4,CRM | MARKETING,2,2,ECL005124 | ECL009592
GT002737,evaluation,16,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL006028 | ECL010589
GT002755,calibration,3,MARKETING | SUPPORT,2,2,ECL009743 | ECL010452
GT002765,evaluation,5,CRM | MARKETING | SUPPORT,2,2,ECL003223 | ECL010343
GT002791,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002863 | ECL009838
GT002795,evaluation,7,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002239 | ECL010640
GT002798,calibration,3,MARKETING | SUPPORT,2,2,ECL009771 | ECL010460
GT002803,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005148 | ECL009654
GT002805,evaluation,4,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008562 | ECL010162
GT002808,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004308 | ECL009785
GT002810,calibration,3,SUPPORT,2,2,ECL010532 | ECL010582
GT002839,calibration,7,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL008540 | ECL010432
GT002846,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005209 | ECL010484
GT002850,calibration,6,CRM | ECOMMERCE | MARKETING,2,2,ECL001821 | ECL009874
GT002855,calibration,4,MARKETING | SUPPORT,2,2,ECL009850 | ECL010100
GT002885,calibration,4,ECOMMERCE | MARKETING | ONLINE,2,2,ECL009101 | ECL010142
GT002899,evaluation,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006550 | ECL010193
GT002914,calibration,14,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001499 | ECL010514
GT002921,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001909 | ECL009861
GT002939,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL000888 | ECL009776
GT002960,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL001712 | ECL009827
GT002971,calibration,4,ECOMMERCE | ONLINE | SUPPORT,2,2,ECL009035 | ECL010565
GT002990,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL003208 | ECL010533
GT003020,calibration,4,CRM | MARKETING | SUPPORT,2,2,ECL002954 | ECL010195
GT003051,calibration,3,CRM | MARKETING,2,2,ECL003248 | ECL009669
GT003078,evaluation,2,MARKETING | SUPPORT,2,2,ECL010381 | ECL010631
GT003110,evaluation,9,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL000583 | ECL010427
GT003117,calibration,7,CRM | ECOMMERCE | MARKETING,2,2,ECL005513 | ECL010102
GT003126,evaluation,4,CRM | ECOMMERCE | MARKETING,2,2,ECL001190 | ECL010001
GT003129,evaluation,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005702 | ECL010253
GT003131,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007100 | ECL009952
GT003144,calibration,5,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL000569 | ECL010535
GT003153,evaluation,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004068 | ECL010466
GT003160,calibration,7,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002190 | ECL010205
GT003173,evaluation,8,CRM | ECOMMERCE | MARKETING,3,2,ECL006290 | ECL009788
GT003219,evaluation,5,CRM | ECOMMERCE | MARKETING,2,2,ECL007054 | ECL007930
GT003220,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL001089 | ECL010370
GT003251,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004349 | ECL009800
GT003262,calibration,4,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005084 | ECL009659
GT003265,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL001860 | ECL009746
GT003287,calibration,9,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL007060 | ECL009999
GT003307,evaluation,3,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008796 | ECL010446
GT003315,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL002562 | ECL010187
GT003316,evaluation,3,CRM | MARKETING,2,2,ECL005056 | ECL010290
GT003330,calibration,8,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008285 | ECL009778
GT003333,evaluation,8,ECOMMERCE | MARKETING | ONLINE,3,3,ECL007808 | ECL009777 | ECL009905
GT003344,calibration,5,CRM | MARKETING | ONLINE,2,2,ECL006648 | ECL010080
GT003356,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000424 | ECL009842
GT003369,calibration,7,ECOMMERCE | MARKETING | ONLINE,2,2,ECL007804 | ECL010219
GT003381,evaluation,7,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL000735 | ECL010637
GT003384,calibration,2,CRM | MARKETING,2,2,ECL006763 | ECL009810
GT003386,calibration,3,CRM | MARKETING,2,2,ECL002628 | ECL009757
GT003399,calibration,4,CRM | ECOMMERCE | MARKETING,2,2,ECL001172 | ECL009786
GT003400,calibration,4,CRM | ECOMMERCE | SUPPORT,2,2,ECL005008 | ECL008520
GT003408,evaluation,6,CRM | ECOMMERCE | MARKETING,2,2,ECL002079 | ECL010056
GT003420,calibration,12,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL007226 | ECL010571
GT003460,calibration,3,CRM | MARKETING,2,2,ECL007755 | ECL009598
GT003463,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL006772 | ECL009790
GT003465,calibration,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004166 | ECL009525
GT003467,evaluation,3,CRM | SUPPORT,2,2,ECL000773 | ECL010524
GT003472,evaluation,6,CRM | ECOMMERCE | MARKETING,2,2,ECL005117 | ECL010153
