staging_record_id,source_system,source_record_id,ground_truth_id,evaluation_split
STG000307,CRM,CRM000307,GT004283,calibration
STG000308,CRM,CRM000308,GT006229,calibration
STG000309,CRM,CRM000309,GT005644,calibration
STG000310,CRM,CRM000310,GT000812,calibration
STG000311,CRM,CRM000311,GT004780,evaluation
STG000312,CRM,CRM000312,GT004324,calibration
STG000313,CRM,CRM000313,GT004586,calibration
STG000314,CRM,CRM000314,GT009111,calibration
STG000315,CRM,CRM000315,GT003008,calibration
STG000316,CRM,CRM000316,GT009775,evaluation
STG000317,CRM,CRM000317,GT004723,calibration
STG000318,CRM,CRM000318,GT004781,calibration
STG000319,CRM,CRM000319,GT007121,calibration
STG000320,CRM,CRM000320,GT004775,calibration
STG000321,CRM,CRM000321,GT000592,calibration
STG000322,CRM,CRM000322,GT005621,evaluation
STG000323,CRM,CRM000323,GT000872,evaluation
STG000324,CRM,CRM000324,GT009292,calibration
STG000325,CRM,CRM000325,GT003125,calibration
STG000326,CRM,CRM000326,GT009334,evaluation
STG000327,CRM,CRM000327,GT005190,calibration
STG000328,CRM,CRM000328,GT007813,calibration
STG000329,CRM,CRM000329,GT005071,evaluation
STG000330,CRM,CRM000330,GT002118,evaluation
STG000331,CRM,CRM000331,GT009971,evaluation
STG000332,CRM,CRM000332,GT006335,calibration
STG000333,CRM,CRM000333,GT004513,calibration
STG000334,CRM,CRM000334,GT009399,calibration
STG000335,CRM,CRM000335,GT005565,evaluation
STG000336,CRM,CRM000336,GT004070,calibration
STG000337,CRM,CRM000337,GT001993,calibration
STG000338,CRM,CRM000338,GT003346,calibration
STG000339,CRM,CRM000339,GT008117,evaluation
STG000340,CRM,CRM000340,GT001620,evaluation
STG000341,CRM,CRM000341,GT004633,calibration
STG000342,CRM,CRM000342,GT006419,evaluation
STG000343,CRM,CRM000343,GT004451,calibration
STG000344,CRM,CRM000344,GT003999,evaluation
STG000345,CRM,CRM000345,GT000370,calibration
STG000346,CRM,CRM000346,GT008159,evaluation
STG000347,CRM,CRM000347,GT000740,calibration
STG000348,CRM,CRM000348,GT004336,calibration
STG000349,CRM,CRM000349,GT000848,calibration
STG000350,CRM,CRM000350,GT003152,evaluation
STG000351,CRM,CRM000351,GT007808,evaluation
STG000352,CRM,CRM000352,GT009252,calibration
STG000353,CRM,CRM000353,GT000402,calibration
STG000354,CRM,CRM000354,GT003027,calibration
STG000355,CRM,CRM000355,GT006883,calibration
STG000356,CRM,CRM000356,GT003727,evaluation
STG000357,CRM,CRM000357,GT009874,evaluation
STG000358,CRM,CRM000358,GT001428,calibration
STG000359,CRM,CRM000359,GT001387,calibration
STG000360,CRM,CRM000360,GT007279,calibration
STG000361,CRM,CRM000361,GT006941,calibration
STG000362,CRM,CRM000362,GT009365,calibration
STG000363,CRM,CRM000363,GT000743,evaluation
STG000364,CRM,CRM000364,GT000164,calibration
STG000365,CRM,CRM000365,GT001291,calibration
STG000366,CRM,CRM000366,GT009222,calibration
STG000367,CRM,CRM000367,GT004347,evaluation
STG000368,CRM,CRM000368,GT004298,calibration
STG000369,CRM,CRM000369,GT002710,calibration
STG000370,CRM,CRM000370,GT001952,calibration
STG000371,CRM,CRM000371,GT001175,calibration
STG000372,CRM,CRM000372,GT007530,evaluation
STG000373,CRM,CRM000373,GT000430,evaluation
STG000374,CRM,CRM000374,GT007412,evaluation
STG000375,CRM,CRM000375,GT005013,evaluation
STG000376,CRM,CRM000376,GT001811,calibration
STG000377,CRM,CRM000377,GT002303,calibration
STG000378,CRM,CRM000378,GT000436,calibration
STG000379,CRM,CRM000379,GT008424,calibration
STG000380,CRM,CRM000380,GT005967,calibration
STG000381,CRM,CRM000381,GT007352,evaluation
STG000382,CRM,CRM000382,GT005393,calibration
STG000383,CRM,CRM000383,GT000601,calibration
STG000384,CRM,CRM000384,GT007103,evaluation
STG000385,CRM,CRM000385,GT008894,calibration
STG000386,CRM,CRM000386,GT002655,evaluation
STG000387,CRM,CRM000387,GT003910,evaluation
STG000388,CRM,CRM000388,GT009916,calibration
STG000389,CRM,CRM000389,GT006167,calibration
STG000390,CRM,CRM000390,GT001313,calibration
STG000391,CRM,CRM000391,GT001742,calibration
STG000392,CRM,CRM000392,GT002589,calibration
STG000393,CRM,CRM000393,GT009278,evaluation
STG000394,CRM,CRM000394,GT008087,calibration
STG000395,CRM,CRM000395,GT000166,calibration
STG000396,CRM,CRM000396,GT002007,calibration
STG000397,CRM,CRM000397,GT002512,calibration
STG000398,CRM,CRM000398,GT005274,calibration
STG000399,CRM,CRM000399,GT001931,evaluation
STG000400,CRM,CRM000400,GT006862,evaluation
STG000401,CRM,CRM000401,GT000380,evaluation
STG000402,CRM,CRM000402,GT000317,evaluation
STG000403,CRM,CRM000403,GT000929,calibration
STG000404,CRM,CRM000404,GT008549,evaluation
STG000405,CRM,CRM000405,GT007690,evaluation
STG000406,CRM,CRM000406,GT005601,calibration
STG000407,CRM,CRM000407,GT007343,evaluation
STG000408,CRM,CRM000408,GT000099,evaluation
STG000409,CRM,CRM000409,GT002408,calibration
STG000410,CRM,CRM000410,GT005188,calibration
STG000411,CRM,CRM000411,GT008046,evaluation
STG000412,CRM,CRM000412,GT005903,calibration
STG000413,CRM,CRM000413,GT003322,calibration
STG000414,CRM,CRM000414,GT002515,calibration
STG000415,CRM,CRM000415,GT008598,calibration
STG000416,CRM,CRM000416,GT008539,calibration
STG000417,CRM,CRM000417,GT001040,calibration
STG000418,CRM,CRM000418,GT008030,calibration
STG000419,CRM,CRM000419,GT003520,calibration
STG000420,CRM,CRM000420,GT004019,calibration
STG000421,CRM,CRM000421,GT000648,evaluation
STG000422,CRM,CRM000422,GT004162,calibration
STG000423,CRM,CRM000423,GT006907,calibration
STG000424,CRM,CRM000424,GT003356,calibration
STG000425,CRM,CRM000425,GT005991,evaluation
STG000426,CRM,CRM000426,GT006660,calibration
STG000427,CRM,CRM000427,GT009709,calibration
STG000428,CRM,CRM000428,GT005754,calibration
STG000429,CRM,CRM000429,GT006418,calibration
STG000430,CRM,CRM000430,GT009598,calibration
STG000431,CRM,CRM000431,GT003241,calibration
STG000432,CRM,CRM000432,GT003332,calibration
STG000433,CRM,CRM000433,GT007112,evaluation
STG000434,CRM,CRM000434,GT006433,calibration
STG000435,CRM,CRM000435,GT003297,evaluation
STG000436,CRM,CRM000436,GT009342,calibration
STG000437,CRM,CRM000437,GT009777,evaluation
STG000438,CRM,CRM000438,GT009946,calibration
STG000439,CRM,CRM000439,GT006969,evaluation
STG000440,CRM,CRM000440,GT008311,evaluation
STG000441,CRM,CRM000441,GT009007,calibration
STG000442,CRM,CRM000442,GT005993,evaluation
STG000443,CRM,CRM000443,GT009051,calibration
STG000444,CRM,CRM000444,GT005513,evaluation
STG000445,CRM,CRM000445,GT003256,calibration
STG000446,CRM,CRM000446,GT005199,calibration
STG000447,CRM,CRM000447,GT001616,calibration
STG000448,CRM,CRM000448,GT009723,calibration
STG000449,CRM,CRM000449,GT003338,calibration
STG000450,CRM,CRM000450,GT001259,calibration
STG000451,CRM,CRM000451,GT008297,calibration
STG000452,CRM,CRM000452,GT007436,calibration
STG000453,CRM,CRM000453,GT008459,calibration
STG000454,CRM,CRM000454,GT009233,calibration
STG000455,CRM,CRM000455,GT007825,calibration
STG000456,CRM,CRM000456,GT006007,calibration
STG000457,CRM,CRM000457,GT008501,calibration
STG000458,CRM,CRM000458,GT001598,evaluation
STG000459,CRM,CRM000459,GT002313,calibration
STG000460,CRM,CRM000460,GT005791,calibration
STG000461,CRM,CRM000461,GT004751,evaluation
STG000462,CRM,CRM000462,GT009337,calibration
STG000463,CRM,CRM000463,GT003318,calibration
STG000464,CRM,CRM000464,GT000689,calibration
STG000465,CRM,CRM000465,GT002864,calibration
STG000466,CRM,CRM000466,GT001788,calibration
STG000467,CRM,CRM000467,GT004255,calibration
STG000468,CRM,CRM000468,GT001065,evaluation
STG000469,CRM,CRM000469,GT006215,calibration
STG000470,CRM,CRM000470,GT003886,evaluation
STG000471,CRM,CRM000471,GT002299,evaluation
STG000472,CRM,CRM000472,GT008877,calibration
STG000473,CRM,CRM000473,GT009885,calibration
STG000474,CRM,CRM000474,GT006851,evaluation
STG000475,CRM,CRM000475,GT001075,calibration
STG000476,CRM,CRM000476,GT005265,calibration
STG000477,CRM,CRM000477,GT006998,calibration
STG000478,CRM,CRM000478,GT004683,calibration
STG000479,CRM,CRM000479,GT001690,calibration
STG000480,CRM,CRM000480,GT003482,calibration
STG000481,CRM,CRM000481,GT008953,calibration
STG000482,CRM,CRM000482,GT000411,calibration
STG000483,CRM,CRM000483,GT000519,evaluation
STG000484,CRM,CRM000484,GT006975,calibration
STG000485,CRM,CRM000485,GT008293,calibration
STG000486,CRM,CRM000486,GT006165,calibration
STG000487,CRM,CRM000487,GT009011,calibration
STG000488,CRM,CRM000488,GT005143,evaluation
STG000489,CRM,CRM000489,GT006492,calibration
STG000490,CRM,CRM000490,GT004322,calibration
STG000491,CRM,CRM000491,GT007917,calibration
STG000492,CRM,CRM000492,GT000349,calibration
STG000493,CRM,CRM000493,GT003924,evaluation
STG000494,CRM,CRM000494,GT003632,evaluation
STG000495,CRM,CRM000495,GT001098,calibration
STG000496,CRM,CRM000496,GT004784,calibration
STG000497,CRM,CRM000497,GT007445,calibration
STG000498,CRM,CRM000498,GT001492,evaluation
STG000499,CRM,CRM000499,GT002006,evaluation
STG000500,CRM,CRM000500,GT009006,calibration
STG000501,CRM,CRM000501,GT000192,evaluation
STG000502,CRM,CRM000502,GT005113,evaluation
STG000503,CRM,CRM000503,GT000617,evaluation
STG000504,CRM,CRM000504,GT002957,calibration
STG000505,CRM,CRM000505,GT008058,calibration
STG000506,CRM,CRM000506,GT006089,evaluation
STG000507,CRM,CRM000507,GT008908,evaluation
STG000508,CRM,CRM000508,GT004890,evaluation
STG000509,CRM,CRM000509,GT001096,evaluation
STG000510,CRM,CRM000510,GT000770,calibration
STG000511,CRM,CRM000511,GT005290,evaluation
STG000512,CRM,CRM000512,GT009188,evaluation
STG000513,CRM,CRM000513,GT009857,calibration
STG000514,CRM,CRM000514,GT007512,evaluation
STG000515,CRM,CRM000515,GT000699,calibration
STG000516,CRM,CRM000516,GT001751,calibration
STG000517,CRM,CRM000517,GT006322,calibration
STG000518,CRM,CRM000518,GT009108,evaluation
STG000519,CRM,CRM000519,GT004827,calibration
STG000520,CRM,CRM000520,GT002774,calibration
STG000521,CRM,CRM000521,GT001206,evaluation
STG000522,CRM,CRM000522,GT007517,evaluation
STG000523,CRM,CRM000523,GT009069,evaluation
STG000524,CRM,CRM000524,GT007283,evaluation
STG000525,CRM,CRM000525,GT001617,evaluation
STG000526,CRM,CRM000526,GT006166,evaluation
STG000527,CRM,CRM000527,GT008993,evaluation
STG000528,CRM,CRM000528,GT004785,calibration
STG000529,CRM,CRM000529,GT000392,calibration
STG000530,CRM,CRM000530,GT002727,evaluation
STG000531,CRM,CRM000531,GT006576,calibration
STG000532,CRM,CRM000532,GT001266,evaluation
STG000533,CRM,CRM000533,GT003511,calibration
STG000534,CRM,CRM000534,GT009802,calibration
STG000535,CRM,CRM000535,GT001312,evaluation
STG000536,CRM,CRM000536,GT004373,calibration
STG000537,CRM,CRM000537,GT006480,calibration
STG000538,CRM,CRM000538,GT002134,calibration
STG000539,CRM,CRM000539,GT008096,calibration
STG000540,CRM,CRM000540,GT001727,calibration
STG000541,CRM,CRM000541,GT005981,evaluation
STG000542,CRM,CRM000542,GT000376,evaluation
STG000543,CRM,CRM000543,GT009997,evaluation
STG000544,CRM,CRM000544,GT005273,calibration
STG000545,CRM,CRM000545,GT002403,calibration
STG000546,CRM,CRM000546,GT001362,calibration
STG000547,CRM,CRM000547,GT000407,calibration
STG000548,CRM,CRM000548,GT002680,calibration
STG000549,CRM,CRM000549,GT008425,evaluation
STG000550,CRM,CRM000550,GT002497,evaluation
STG000551,CRM,CRM000551,GT009392,evaluation
STG000552,CRM,CRM000552,GT009925,calibration
STG000553,CRM,CRM000553,GT005741,calibration
STG000554,CRM,CRM000554,GT001174,calibration
STG000555,CRM,CRM000555,GT003418,calibration
STG000556,CRM,CRM000556,GT003740,evaluation
STG000557,CRM,CRM000557,GT006493,evaluation
STG000558,CRM,CRM000558,GT006901,calibration
STG000559,CRM,CRM000559,GT001697,evaluation
STG000560,CRM,CRM000560,GT006555,evaluation
STG000561,CRM,CRM000561,GT005119,calibration
STG000562,CRM,CRM000562,GT005066,evaluation
STG000563,CRM,CRM000563,GT001214,calibration
STG000564,CRM,CRM000564,GT009032,calibration
STG000565,CRM,CRM000565,GT000290,calibration
STG000566,CRM,CRM000566,GT007509,calibration
STG000567,CRM,CRM000567,GT002932,calibration
STG000568,CRM,CRM000568,GT007702,calibration
STG000569,CRM,CRM000569,GT003144,calibration
STG000570,CRM,CRM000570,GT008043,calibration
STG000571,CRM,CRM000571,GT006184,calibration
STG000572,CRM,CRM000572,GT009625,calibration
STG000573,CRM,CRM000573,GT008974,evaluation
