cluster_id_1,cluster_id_2,cluster_size_1,cluster_size_2,blocking_rules,blocking_rule_names,blocking_hits,record_pairs_compared,record_id_1,source_system_1,source_record_id_1,record_id_2,source_system_2,source_record_id_2,email_available,email_similarity,phone_available,phone_similarity,name_available,name_similarity,address_available,address_similarity,postcode_available,postcode_similarity,date_of_birth_available,date_of_birth_similarity,weighted_similarity_score,evidence_coverage,strong_identifiers,supporting_features,corroborating_features,supporting_feature_count,corroborating_feature_count,static_conflict,preliminary_decision,preliminary_reason,final_decision,final_reason,merge_performed,probabilistic_cluster_id_1,probabilistic_cluster_id_2
DCL000221,DCL008465,4,6,B04,Email domain and local-part prefix,1,24,STG022366,MARKETING,MKT001064,STG075368,SUPPORT,SUP002066,True,0.9583,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.975,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000221,PCL000221
DCL000246,DCL008113,11,7,B04,Email domain and local-part prefix,1,77,STG077321,SUPPORT,SUP004019,STG029260,MARKETING,MKT007958,True,0.9388,False,0.0,True,0.8696,False,0.0,False,0.0,False,0.0,0.9111,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000246,PCL000246
DCL000256,DCL009828,10,1,B04,Email domain and local-part prefix,1,10,STG073444,SUPPORT,SUP000142,STG024732,MARKETING,MKT003430,True,0.9767,False,0.0,True,0.9474,False,0.0,False,0.0,False,0.0,0.965,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000256,PCL000256
DCL000262,DCL010636,10,1,B04,Email domain and local-part prefix,1,10,STG074816,SUPPORT,SUP001514,STG075824,SUPPORT,SUP002522,True,0.9744,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9846,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000262,PCL000262
DCL000284,DCL010288,3,1,B04,Email domain and local-part prefix,1,3,STG020979,ECOMMERCE,TXN012979,STG030433,MARKETING,MKT009131,True,1.0,False,0.0,True,0.9375,False,0.0,True,0.6667,False,0.0,0.9236,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000284,PCL000284
DCL000293,DCL010649,7,1,B04,Email domain and local-part prefix,1,7,STG077700,SUPPORT,SUP004398,STG075984,SUPPORT,SUP002682,True,1.0,False,0.0,True,0.9091,False,0.0,False,0.0,False,0.0,0.9636,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000293,PCL000293
DCL000306,DCL008324,6,6,B04,Email domain and local-part prefix,1,36,STG021215,ECOMMERCE,TXN013215,STG023396,MARKETING,MKT002094,True,0.9787,False,0.0,True,1.0,False,0.0,True,0.1667,False,0.0,0.8505,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000306,PCL000306
DCL000319,DCL009516,7,3,B04,Email domain and local-part prefix,1,21,STG024910,MARKETING,MKT003608,STG078198,SUPPORT,SUP004896,True,0.9302,False,0.0,True,0.8571,False,0.0,False,0.0,False,0.0,0.901,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000319,PCL000319
DCL000319,DCL010737,7,1,B04,Email domain and local-part prefix,1,7,STG024910,MARKETING,MKT003608,STG077963,SUPPORT,SUP004661,True,0.8837,False,0.0,True,0.9,False,0.0,False,0.0,False,0.0,0.8902,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_transitive_support,Clusters were already connected by stronger accepted matches,False,PCL000319,PCL000319
DCL000324,DCL008867,6,7,B04,Email domain and local-part prefix,1,42,STG076345,SUPPORT,SUP003043,STG032201,MARKETING,MKT010899,True,0.9057,False,0.0,True,0.8148,False,0.0,False,0.0,False,0.0,0.8693,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000324,PCL000324
DCL000328,DCL010077,7,1,B04,Email domain and local-part prefix,1,7,STG022618,MARKETING,MKT001316,STG027561,MARKETING,MKT006259,True,1.0,False,0.0,True,0.9231,False,0.0,True,0.6667,False,0.0,0.9188,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000328,PCL000328
DCL000335,DCL010246,11,1,B04,Email domain and local-part prefix,1,11,STG020013,ECOMMERCE,TXN012013,STG029887,MARKETING,MKT008585,True,1.0,False,0.0,True,0.9565,False,0.0,True,0.6,False,0.0,0.9188,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000335,PCL000335
DCL000360,DCL010690,12,1,B04,Email domain and local-part prefix,1,12,STG076426,SUPPORT,SUP003124,STG077169,SUPPORT,SUP003867,True,0.9804,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9882,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000360,PCL000360
DCL000386,DCL010651,8,1,B04,Email domain and local-part prefix,1,8,STG076611,SUPPORT,SUP003309,STG076155,SUPPORT,SUP002853,True,1.0,False,0.0,True,0.8889,False,0.0,False,0.0,False,0.0,0.9556,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000386,PCL000386
DCL000476,DCL009572,11,1,B04,Email domain and local-part prefix,1,11,STG073498,SUPPORT,SUP000196,STG021692,MARKETING,MKT000390,True,0.9818,False,0.0,True,0.963,False,0.0,False,0.0,False,0.0,0.9743,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000476,PCL000476
DCL000497,DCL008637,1,2,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,2,STG000497,CRM,CRM000497,STG014157,ECOMMERCE,TXN006157,False,0.0,True,1.0,True,0.8235,True,1.0,True,1.0,False,0.0,0.9457,0.65,phone,address | name | phone | postcode,address | name | postcode,4,3,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000497,PCL000497
DCL000497,DCL009931,1,1,B04,Email domain and local-part prefix,1,1,STG000497,CRM,CRM000497,STG026003,MARKETING,MKT004701,True,1.0,False,0.0,True,0.8235,False,0.0,True,0.6,False,0.0,0.8745,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000497,PCL000497
DCL000519,DCL010495,5,1,B04,Email domain and local-part prefix,1,5,STG033275,MARKETING,MKT011973,STG033162,MARKETING,MKT011860,True,0.9796,False,0.0,True,1.0,False,0.0,True,0.6,False,0.0,0.9231,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000519,PCL000519
DCL000538,DCL007823,13,5,B04,Email domain and local-part prefix,1,65,STG074774,SUPPORT,SUP001472,STG075321,SUPPORT,SUP002019,True,0.9615,False,0.0,True,0.9333,False,0.0,False,0.0,False,0.0,0.9503,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000538,PCL000538
DCL000568,DCL009244,5,3,B04,Email domain and local-part prefix,1,15,STG032754,MARKETING,MKT011452,STG077458,SUPPORT,SUP004156,True,0.9545,False,0.0,True,0.9091,False,0.0,False,0.0,False,0.0,0.9364,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000568,PCL000568
DCL000579,DCL007917,3,1,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,3,STG013419,ECOMMERCE,TXN005419,STG008655,ECOMMERCE,TXN000655,True,0.8077,True,1.0,True,0.9231,True,1.0,True,1.0,False,0.0,0.9231,0.95,phone,address | email | name | phone | postcode,address | email | name | postcode,5,4,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000579,PCL000579
DCL000582,DCL009312,8,1,B04,Email domain and local-part prefix,1,8,STG076090,SUPPORT,SUP002788,STG020156,ECOMMERCE,TXN012156,True,0.913,False,0.0,True,0.8333,False,0.0,False,0.0,False,0.0,0.8812,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000582,PCL000582
DCL000583,DCL010518,8,1,B04,Email domain and local-part prefix,1,8,STG027869,MARKETING,MKT006567,STG073481,SUPPORT,SUP000179,True,1.0,False,0.0,True,0.9412,False,0.0,False,0.0,False,0.0,0.9765,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000583,PCL000583
DCL000617,DCL010641,14,1,B04,Email domain and local-part prefix,1,14,STG024211,MARKETING,MKT002909,STG075914,SUPPORT,SUP002612,True,0.9524,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9714,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000617,PCL000617
DCL000623,DCL008859,11,2,B04,Email domain and local-part prefix,1,22,STG077462,SUPPORT,SUP004160,STG024745,MARKETING,MKT003443,True,0.9091,False,0.0,True,0.8182,False,0.0,False,0.0,False,0.0,0.8727,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000623,PCL000623
DCL000627,DCL008428,7,5,B04,Email domain and local-part prefix,1,35,STG031217,MARKETING,MKT009915,STG076906,SUPPORT,SUP003604,True,0.913,False,0.0,True,0.8333,False,0.0,False,0.0,False,0.0,0.8812,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000627,PCL000627
DCL000640,DCL008585,4,1,B02 | B03 | B04 | B05,Email domain and local-part prefix | First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code,4,4,STG000640,CRM,CRM000640,STG013673,ECOMMERCE,TXN005673,True,0.9804,True,1.0,True,0.9333,True,1.0,True,1.0,False,0.0,0.9798,0.95,email | phone,address | email | name | phone | postcode,address | name | postcode,5,3,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000640,PCL000640
DCL000652,DCL009137,2,3,B04,Email domain and local-part prefix,1,6,STG030180,MARKETING,MKT008878,STG018878,ECOMMERCE,TXN010878,True,0.9787,False,0.0,True,1.0,False,0.0,True,0.3636,False,0.0,0.8833,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000652,PCL000652
DCL000659,DCL010644,7,1,B04,Email domain and local-part prefix,1,7,STG077406,SUPPORT,SUP004104,STG075941,SUPPORT,SUP002639,True,0.9811,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9887,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000659,PCL000659
DCL000665,DCL009952,12,1,B04,Email domain and local-part prefix,1,12,STG020180,ECOMMERCE,TXN012180,STG026172,MARKETING,MKT004870,True,1.0,False,0.0,True,0.96,False,0.0,True,0.6,False,0.0,0.92,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000665,PCL000665
DCL000675,DCL010434,10,1,B04,Email domain and local-part prefix,1,10,STG077886,SUPPORT,SUP004584,STG032431,MARKETING,MKT011129,True,1.0,False,0.0,True,0.9412,False,0.0,False,0.0,False,0.0,0.9765,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000675,PCL000675
DCL000683,DCL008039,5,4,B04,Email domain and local-part prefix,1,20,STG028503,MARKETING,MKT007201,STG027085,MARKETING,MKT005783,True,0.9787,False,0.0,True,1.0,False,0.0,True,0.5,False,0.0,0.906,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000683,PCL000683
DCL000689,DCL010686,4,1,B04,Email domain and local-part prefix,1,4,STG026210,MARKETING,MKT004908,STG077061,SUPPORT,SUP003759,True,1.0,False,0.0,True,0.9474,False,0.0,False,0.0,False,0.0,0.9789,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000689,PCL000689
DCL000690,DCL008737,9,3,B04,Email domain and local-part prefix,1,27,STG028036,MARKETING,MKT006734,STG075239,SUPPORT,SUP001937,True,0.9,False,0.0,True,0.7778,False,0.0,False,0.0,False,0.0,0.8511,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000690,PCL000690
DCL000698,DCL010727,6,1,B04,Email domain and local-part prefix,1,6,STG074691,SUPPORT,SUP001389,STG077838,SUPPORT,SUP004536,True,0.973,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9838,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000698,PCL000698
DCL000731,DCL007938,8,4,B04,Email domain and local-part prefix,1,32,STG074841,SUPPORT,SUP001539,STG029085,MARKETING,MKT007783,True,0.92,False,0.0,True,0.8571,False,0.0,False,0.0,False,0.0,0.8949,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000731,PCL000731
DCL000735,DCL010740,6,1,B04,Email domain and local-part prefix,1,6,STG021192,ECOMMERCE,TXN013192,STG078041,SUPPORT,SUP004739,True,1.0,False,0.0,True,0.7,False,0.0,False,0.0,False,0.0,0.88,0.5,email,email,name,1,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000735,PCL000735
DCL000739,DCL010716,6,1,B04,Email domain and local-part prefix,1,6,STG073781,SUPPORT,SUP000479,STG077565,SUPPORT,SUP004263,True,0.9756,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9854,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000739,PCL000739
DCL000743,DCL009437,11,2,B04,Email domain and local-part prefix,1,22,STG074512,SUPPORT,SUP001210,STG031827,MARKETING,MKT010525,True,0.9091,False,0.0,True,0.8182,False,0.0,False,0.0,False,0.0,0.8727,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000743,PCL000743
DCL000768,DCL009530,9,3,B04,Email domain and local-part prefix,1,27,STG000768,CRM,CRM000768,STG033221,MARKETING,MKT011919,True,0.9057,False,0.0,True,0.8387,False,0.0,False,0.0,False,0.0,0.8789,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000768,PCL000768
DCL000781,DCL010513,7,1,B04,Email domain and local-part prefix,1,7,STG032781,MARKETING,MKT011479,STG073389,SUPPORT,SUP000087,True,0.96,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.976,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000781,PCL000781
DCL000813,DCL008654,3,3,B04,Email domain and local-part prefix,1,9,STG030819,MARKETING,MKT009517,STG075729,SUPPORT,SUP002427,True,0.8936,False,0.0,True,0.8,False,0.0,False,0.0,False,0.0,0.8562,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000813,PCL000813
DCL000823,DCL009829,8,1,B04,Email domain and local-part prefix,1,8,STG029401,MARKETING,MKT008099,STG024734,MARKETING,MKT003432,True,0.9362,False,0.0,True,1.0,False,0.0,True,0.6,False,0.0,0.9014,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000823,PCL000823
DCL000864,DCL008825,13,3,B04,Email domain and local-part prefix,1,39,STG000864,CRM,CRM000864,STG026745,MARKETING,MKT005443,True,0.875,False,0.0,True,0.8387,False,0.0,False,0.0,False,0.0,0.8605,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000864,PCL000864
DCL000865,DCL010685,2,1,B04,Email domain and local-part prefix,1,2,STG023869,MARKETING,MKT002567,STG077005,SUPPORT,SUP003703,True,0.9804,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9882,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000865,PCL000865
DCL000877,DCL010512,4,1,B04,Email domain and local-part prefix,1,4,STG077808,SUPPORT,SUP004506,STG073351,SUPPORT,SUP000049,True,1.0,False,0.0,True,0.8889,False,0.0,False,0.0,False,0.0,0.9556,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000877,PCL000877
DCL000924,DCL010569,9,1,B04,Email domain and local-part prefix,1,9,STG076126,SUPPORT,SUP002824,STG074419,SUPPORT,SUP001117,True,0.9524,False,0.0,True,0.9,False,0.0,False,0.0,False,0.0,0.9314,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000924,PCL000924
DCL000953,DCL010561,8,1,B04,Email domain and local-part prefix,1,8,STG075586,SUPPORT,SUP002284,STG074278,SUPPORT,SUP000976,True,1.0,False,0.0,True,0.9524,False,0.0,False,0.0,False,0.0,0.981,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000953,PCL000953
DCL000962,DCL010638,9,1,B04,Email domain and local-part prefix,1,9,STG024256,MARKETING,MKT002954,STG075837,SUPPORT,SUP002535,True,1.0,False,0.0,True,0.875,False,0.0,False,0.0,False,0.0,0.95,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000962,PCL000962
DCL000991,DCL010567,4,1,B04,Email domain and local-part prefix,1,4,STG031153,MARKETING,MKT009851,STG074404,SUPPORT,SUP001102,True,0.9524,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9714,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000991,PCL000991
DCL001006,DCL007994,16,4,B04,Email domain and local-part prefix,1,64,STG076607,SUPPORT,SUP003305,STG073423,SUPPORT,SUP000121,True,0.9057,False,0.0,True,0.8148,False,0.0,False,0.0,False,0.0,0.8693,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001006,PCL001006
DCL001041,DCL010621,4,1,B04,Email domain and local-part prefix,1,4,STG026091,MARKETING,MKT004789,STG075543,SUPPORT,SUP002241,True,0.9268,False,0.0,True,0.8,False,0.0,False,0.0,False,0.0,0.8761,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001041,PCL001041
DCL001046,DCL010030,4,1,B04,Email domain and local-part prefix,1,4,STG027995,MARKETING,MKT006693,STG027133,MARKETING,MKT005831,True,1.0,False,0.0,True,0.9565,False,0.0,True,0.6667,False,0.0,0.93,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001046,PCL001046
DCL001048,DCL009347,8,2,B04,Email domain and local-part prefix,1,16,STG022061,MARKETING,MKT000759,STG026466,MARKETING,MKT005164,True,0.9767,False,0.0,True,1.0,False,0.0,True,0.4444,False,0.0,0.8958,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001048,PCL001048
DCL001059,DCL010643,3,1,B04,Email domain and local-part prefix,1,3,STG029372,MARKETING,MKT008070,STG075929,SUPPORT,SUP002627,True,0.9565,False,0.0,True,1.0,False,0.0,False,0.0,False,0.0,0.9739,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001059,PCL001059
DCL001129,DCL008216,15,2,B04,Email domain and local-part prefix,1,30,STG077591,SUPPORT,SUP004289,STG010767,ECOMMERCE,TXN002767,True,0.9057,False,0.0,True,0.8387,False,0.0,False,0.0,False,0.0,0.8789,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001129,PCL001129
DCL001142,DCL009757,4,1,B04,Email domain and local-part prefix,1,4,STG076170,SUPPORT,SUP002868,STG023721,MARKETING,MKT002419,True,1.0,False,0.0,True,0.9412,False,0.0,False,0.0,False,0.0,0.9765,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001142,PCL001142
DCL001161,DCL008065,3,7,B04,Email domain and local-part prefix,1,21,STG009263,ECOMMERCE,TXN001263,STG077256,SUPPORT,SUP003954,True,0.898,False,0.0,True,0.8148,False,0.0,False,0.0,False,0.0,0.8647,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001161,PCL001161
