ucr_id,total_linked_records,total_source_systems,source_systems,crm_record_count,ecommerce_record_count,marketing_record_count,online_record_count,support_record_count,ecommerce_transaction_count,ecommerce_total_revenue,ecommerce_total_tickets,ecommerce_average_transaction_value,ecommerce_distinct_events,first_transaction_date_time,last_transaction_date_time,first_attended_event_date,last_attended_event_date,online_session_count,online_total_duration_seconds,online_average_duration_seconds,online_baskets_created,online_baskets_converted,online_linked_transaction_count,first_online_session,last_online_session,online_basket_conversion_rate,marketing_contact_count,marketing_emails_opened,marketing_links_clicked,first_marketing_contact_date,last_marketing_contact_date,latest_marketing_consent_status,support_ticket_count,support_open_ticket_count,support_resolved_ticket_count,support_average_resolution_hours,first_support_ticket,last_support_ticket,first_recorded_interaction,last_recorded_interaction
UCR002174,2,2,CRM | MARKETING,1,0,1,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,3,0,2025-10-19,2025-10-19,False,0,0,0,,,,2025-10-19,2025-10-19
UCR002175,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,51.7,1,51.7,1.0,2025-10-31 16:05:06,2025-10-31 16:05:06,2025-11-15,2025-11-15,0,0.0,,0,0,0,,,0.0,1,3,0,2025-10-23,2025-10-23,True,0,0,0,,,,2025-10-23,2025-10-31 16:05:06
UCR002176,12,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,3,4,4,0,3,161.0,3,53.67,3.0,2025-01-13 07:45:20,2025-03-19 23:31:04,2025-01-25,2025-07-05,4,3921.0,980.25,2,2,2,2025-01-13 07:36:28,2025-12-26 15:54:27,1.0,4,26,12,2025-03-08,2025-12-07,True,0,0,0,,,,2025-01-13 07:36:28,2025-12-26 15:54:27
UCR002177,6,2,CRM | ONLINE,1,0,0,5,0,0,0.0,0,,,,,,,5,2635.0,527.0,1,0,0,2025-05-22 05:20:49,2025-11-08 08:46:34,0.0,0,0,0,,,,0,0,0,,,,2025-05-22 05:20:49,2025-11-08 08:46:34
UCR002178,7,3,CRM | ECOMMERCE | ONLINE,1,2,0,4,0,2,53.61,2,26.8,2.0,2025-01-03 21:10:05,2025-05-02 15:40:39,2025-02-08,2025-05-17,4,4134.0,1033.5,3,2,2,2025-01-03 20:39:23,2025-12-06 20:20:19,0.6667,0,0,0,,,,0,0,0,,,,2025-01-03 20:39:23,2025-12-06 20:20:19
UCR002179,8,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,3,2,0,2,97.45,2,48.72,2.0,2025-01-01 21:08:13,2025-01-27 10:20:37,2025-01-04,2025-10-04,2,2371.0,1185.5,1,1,1,2025-01-27 10:03:07,2025-12-06 10:11:52,1.0,3,36,10,2025-04-26,2025-12-13,False,0,0,0,,,,2025-01-01 21:08:13,2025-12-13
UCR002180,5,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,2,1,0,1,62.61,1,62.61,1.0,2025-01-20 07:28:17,2025-01-20 07:28:17,2025-03-08,2025-03-08,1,427.0,427.0,1,1,1,2025-01-20 07:25:05,2025-01-20 07:25:05,1.0,2,9,4,2025-06-21,2025-10-26,True,0,0,0,,,,2025-01-20 07:25:05,2025-10-26
UCR002181,6,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,1,1,0,3,1,42.67,1,42.67,1.0,2025-01-09 02:21:45,2025-01-09 02:21:45,2025-01-11,2025-01-11,0,0.0,,0,0,0,,,0.0,1,8,3,2025-04-03,2025-04-03,True,3,1,2,19.02,2025-01-15 08:20:20,2025-12-13 19:12:49,2025-01-09 02:21:45,2025-12-13 19:12:49
UCR002182,6,3,CRM | ECOMMERCE | MARKETING,1,3,2,0,0,3,127.94,6,42.65,2.0,2025-01-02 11:32:17,2025-09-04 11:12:34,2025-04-05,2025-11-29,0,0.0,,0,0,0,,,0.0,2,14,2,2025-06-19,2025-11-03,False,0,0,0,,,,2025-01-02 11:32:17,2025-11-03
UCR002183,2,2,CRM | ECOMMERCE,1,1,0,0,0,1,23.33,1,23.33,1.0,2025-12-26 05:13:53,2025-12-26 05:13:53,2025-12-27,2025-12-27,0,0.0,,0,0,0,,,0.0,0,0,0,,,,0,0,0,,,,2025-12-26 05:13:53,2025-12-26 05:13:53
UCR002184,9,2,CRM | ONLINE,1,0,0,8,0,0,0.0,0,,,,,,,8,3189.0,398.62,3,0,0,2025-04-29 07:30:45,2025-12-02 05:48:35,0.0,0,0,0,,,,0,0,0,,,,2025-04-29 07:30:45,2025-12-02 05:48:35
UCR002185,10,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,4,3,1,1,200.4,3,200.4,1.0,2025-05-18 06:30:14,2025-05-18 06:30:14,2025-08-30,2025-08-30,3,2551.0,850.33,0,0,0,2025-06-18 04:57:24,2025-09-29 22:52:11,0.0,4,17,2,2025-07-01,2025-12-14,False,1,0,1,14.62,2025-08-02 00:30:54,2025-08-02 00:30:54,2025-05-18 06:30:14,2025-12-14
UCR002186,4,3,CRM | ECOMMERCE | SUPPORT,1,2,0,0,1,2,140.04,2,70.02,2.0,2025-04-29 02:30:21,2025-07-10 18:50:49,2025-09-13,2025-11-08,0,0.0,,0,0,0,,,0.0,0,0,0,,,,1,1,0,,2025-07-28 05:10:53,2025-07-28 05:10:53,2025-04-29 02:30:21,2025-07-28 05:10:53
UCR002187,10,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,2,5,0,2,125.69,2,62.84,2.0,2025-01-04 16:38:49,2025-04-18 23:33:20,2025-03-15,2025-04-19,5,3682.0,736.4,3,2,2,2025-01-04 16:18:27,2025-10-17 18:04:18,0.6667,2,9,1,2025-03-07,2025-04-17,True,0,0,0,,,,2025-01-04 16:18:27,2025-10-17 18:04:18
UCR002188,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,3,0,1,66.8,1,66.8,1.0,2025-04-01 20:54:22,2025-04-01 20:54:22,2025-08-30,2025-08-30,3,1464.0,488.0,0,0,0,2025-03-26 01:04:33,2025-06-07 09:28:39,0.0,1,4,0,2025-01-02,2025-01-02,False,0,0,0,,,,2025-01-02,2025-06-07 09:28:39
UCR002189,7,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,4,0,1,21.54,1,21.54,1.0,2025-03-28 14:47:53,2025-03-28 14:47:53,2025-04-05,2025-04-05,4,1482.0,370.5,2,1,1,2025-03-28 14:42:06,2025-06-20 21:08:17,0.5,1,4,0,2025-03-24,2025-03-24,True,0,0,0,,,,2025-03-24,2025-06-20 21:08:17
UCR002190,6,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,2,1,0,2,2,164.86,3,82.43,2.0,2025-01-15 07:30:33,2025-09-10 22:09:13,2025-01-18,2025-10-04,0,0.0,,0,0,0,,,0.0,1,7,1,2025-03-03,2025-03-03,True,2,0,2,18.8,2025-05-23 22:31:55,2025-07-19 21:24:12,2025-01-15 07:30:33,2025-09-10 22:09:13
UCR002191,5,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,1,1,1,1,35.62,1,35.62,1.0,2025-01-30 17:00:28,2025-01-30 17:00:28,2025-03-01,2025-03-01,1,1491.0,1491.0,1,1,1,2025-01-30 16:41:25,2025-01-30 16:41:25,1.0,1,9,0,2025-03-24,2025-03-24,True,1,0,1,17.12,2025-12-29 13:11:30,2025-12-29 13:11:30,2025-01-30 16:41:25,2025-12-29 13:11:30
UCR002192,2,2,CRM | ECOMMERCE,1,1,0,0,0,1,43.74,2,43.74,1.0,2025-05-05 10:01:11,2025-05-05 10:01:11,2025-08-16,2025-08-16,0,0.0,,0,0,0,,,0.0,0,0,0,,,,0,0,0,,,,2025-05-05 10:01:11,2025-05-05 10:01:11
UCR002193,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,55.42,2,55.42,1.0,2025-01-18 06:06:03,2025-01-18 06:06:03,2025-02-08,2025-02-08,0,0.0,,0,0,0,,,0.0,1,3,0,2025-12-31,2025-12-31,True,0,0,0,,,,2025-01-18 06:06:03,2025-12-31
UCR002194,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,68.46,1,68.46,1.0,2025-05-21 11:19:40,2025-05-21 11:19:40,2025-05-24,2025-05-24,0,0.0,,0,0,0,,,0.0,1,4,0,2025-07-05,2025-07-05,True,0,0,0,,,,2025-05-21 11:19:40,2025-07-05
UCR002195,6,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,2,2,0,1,2,173.36,3,86.68,2.0,2025-03-06 08:14:37,2025-03-28 15:44:17,2025-07-05,2025-07-12,0,0.0,,0,0,0,,,0.0,2,11,1,2025-01-31,2025-11-26,False,1,1,0,,2025-10-26 03:39:57,2025-10-26 03:39:57,2025-01-31,2025-11-26
UCR002196,7,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,2,2,1,1,89.12,1,89.12,1.0,2025-01-04 07:37:38,2025-01-04 07:37:38,2025-02-01,2025-02-01,2,1267.0,633.5,1,0,0,2025-06-14 12:50:46,2025-10-21 11:07:51,0.0,2,20,5,2025-04-20,2025-09-14,True,1,0,1,18.42,2025-11-27 05:08:45,2025-11-27 05:08:45,2025-01-04 07:37:38,2025-11-27 05:08:45
UCR002197,3,2,CRM | MARKETING,1,0,2,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,2,12,3,2025-05-14,2025-06-02,True,0,0,0,,,,2025-05-14,2025-06-02
UCR002198,4,3,CRM | ECOMMERCE | MARKETING,1,1,2,0,0,1,20.89,1,20.89,1.0,2025-06-16 15:43:16,2025-06-16 15:43:16,2025-11-29,2025-11-29,0,0.0,,0,0,0,,,0.0,2,10,1,2025-03-02,2025-05-26,False,0,0,0,,,,2025-03-02,2025-06-16 15:43:16
UCR002199,5,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,1,1,0,2,1,97.92,2,97.92,1.0,2025-02-10 11:10:23,2025-02-10 11:10:23,2025-06-07,2025-06-07,0,0.0,,0,0,0,,,0.0,1,8,2,2025-11-20,2025-11-20,True,2,0,2,7.78,2025-08-11 01:50:31,2025-12-05 20:14:16,2025-02-10 11:10:23,2025-12-05 20:14:16
UCR002200,2,2,CRM | MARKETING,1,0,1,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,9,1,2025-05-20,2025-05-20,True,0,0,0,,,,2025-05-20,2025-05-20
UCR002201,5,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,2,1,0,1,63.4,2,63.4,1.0,2025-01-04 03:21:21,2025-01-04 03:21:21,2025-04-12,2025-04-12,1,1167.0,1167.0,1,1,1,2025-01-04 03:11:28,2025-01-04 03:11:28,1.0,2,28,10,2025-02-01,2025-07-28,True,0,0,0,,,,2025-01-04 03:11:28,2025-07-28
UCR002202,4,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,1,0,1,64.78,2,64.78,1.0,2025-10-26 07:54:59,2025-10-26 07:54:59,2025-12-20,2025-12-20,1,172.0,172.0,1,1,1,2025-10-26 07:52:38,2025-10-26 07:52:38,1.0,1,1,0,2025-09-27,2025-09-27,False,0,0,0,,,,2025-09-27,2025-10-26 07:54:59
UCR002203,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,61.43,1,61.43,1.0,2025-01-02 06:00:52,2025-01-02 06:00:52,2025-03-01,2025-03-01,0,0.0,,0,0,0,,,0.0,1,6,1,2025-11-15,2025-11-15,False,0,0,0,,,,2025-01-02 06:00:52,2025-11-15
UCR002204,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,2,1,0,2,191.07,5,95.54,2.0,2025-01-17 23:58:18,2025-05-06 03:20:50,2025-03-01,2025-07-19,1,448.0,448.0,1,1,1,2025-01-17 23:55:27,2025-01-17 23:55:27,1.0,2,11,1,2025-03-19,2025-10-10,True,0,0,0,,,,2025-01-17 23:55:27,2025-10-10
UCR002205,7,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,2,3,0,1,63.4,2,63.4,1.0,2025-01-15 15:35:44,2025-01-15 15:35:44,2025-04-12,2025-04-12,3,2088.0,696.0,1,1,1,2025-01-15 15:27:35,2025-07-18 19:33:10,1.0,2,13,4,2025-09-15,2025-09-24,True,0,0,0,,,,2025-01-15 15:27:35,2025-09-24
UCR002206,10,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1,3,0,5,1,3,136.05,4,45.35,3.0,2025-02-05 17:44:37,2025-07-16 04:53:32,2025-03-22,2025-08-23,5,2728.0,545.6,2,1,1,2025-03-08 07:04:07,2025-11-15 22:50:31,0.5,0,0,0,,,,1,1,0,,2025-07-10 16:58:01,2025-07-10 16:58:01,2025-02-05 17:44:37,2025-11-15 22:50:31
UCR002207,8,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,5,0,1,95.4,2,95.4,1.0,2025-03-13 19:40:39,2025-03-13 19:40:39,2025-08-02,2025-08-02,5,3849.0,769.8,1,1,1,2025-03-13 19:33:51,2025-08-31 04:44:15,1.0,1,1,0,2025-02-02,2025-02-02,False,0,0,0,,,,2025-02-02,2025-08-31 04:44:15
UCR002208,4,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1,1,0,1,1,1,55.42,2,55.42,1.0,2025-02-02 03:54:41,2025-02-02 03:54:41,2025-02-08,2025-02-08,1,468.0,468.0,1,1,1,2025-02-02 03:50:37,2025-02-02 03:50:37,1.0,0,0,0,,,,1,0,1,1.83,2025-12-07 07:39:25,2025-12-07 07:39:25,2025-02-02 03:50:37,2025-12-07 07:39:25
UCR002209,7,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1,1,0,3,2,1,86.16,4,86.16,1.0,2025-01-01 00:14:28,2025-01-01 00:14:28,2025-04-05,2025-04-05,3,2797.0,932.33,2,1,1,2025-01-01 00:00:11,2025-06-27 23:55:48,0.5,0,0,0,,,,2,0,2,4.82,2025-02-04 11:23:23,2025-12-04 11:38:26,2025-01-01 00:00:11,2025-12-04 11:38:26
UCR002210,11,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,2,6,0,2,90.49,2,45.24,2.0,2025-01-17 08:57:16,2025-04-16 11:02:27,2025-02-22,2025-07-12,6,2230.0,371.67,3,1,1,2025-01-17 08:53:09,2025-12-05 14:41:55,0.3333,2,15,1,2025-01-14,2025-10-02,False,0,0,0,,,,2025-01-14,2025-12-05 14:41:55
UCR002211,8,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,1,4,0,2,143.7,2,71.85,2.0,2025-02-11 08:58:05,2025-04-14 17:33:13,2025-03-29,2025-09-06,4,2303.0,575.75,2,2,2,2025-02-11 08:51:12,2025-06-26 16:53:36,1.0,1,5,0,2025-01-14,2025-01-14,True,0,0,0,,,,2025-01-14,2025-06-26 16:53:36
UCR002212,5,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,1,1,0,2,1,65.43,1,65.43,1.0,2025-05-12 06:29:26,2025-05-12 06:29:26,2025-07-19,2025-07-19,0,0.0,,0,0,0,,,0.0,1,7,4,2025-10-14,2025-10-14,False,2,0,2,23.21,2025-07-20 23:49:12,2025-10-03 03:06:36,2025-05-12 06:29:26,2025-10-14
UCR002213,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,28.06,1,28.06,1.0,2025-01-10 10:00:48,2025-01-10 10:00:48,2025-05-03,2025-05-03,0,0.0,,0,0,0,,,0.0,1,8,0,2025-01-30,2025-01-30,True,0,0,0,,,,2025-01-10 10:00:48,2025-01-30
UCR002214,3,2,CRM | MARKETING,1,0,2,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,2,14,2,2025-07-12,2025-12-15,True,0,0,0,,,,2025-07-12,2025-12-15
UCR002215,1,1,CRM,1,0,0,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,0,0,0,,,,0,0,0,,,,,
UCR002216,6,3,CRM | ECOMMERCE | ONLINE,1,1,0,4,0,1,41.6,1,41.6,1.0,2025-05-12 19:31:17,2025-05-12 19:31:17,2025-06-14,2025-06-14,4,1941.0,485.25,1,1,1,2025-05-12 19:21:52,2025-11-07 17:12:34,1.0,0,0,0,,,,0,0,0,,,,2025-05-12 19:21:52,2025-11-07 17:12:34
UCR002217,7,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,4,0,1,26.41,1,26.41,1.0,2025-01-09 15:32:58,2025-01-09 15:32:58,2025-01-11,2025-01-11,4,3271.0,817.75,0,0,0,2025-01-25 05:03:41,2025-09-21 21:16:35,0.0,1,4,1,2025-03-01,2025-03-01,True,0,0,0,,,,2025-01-09 15:32:58,2025-09-21 21:16:35
UCR002218,9,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,3,3,0,2,144.38,2,72.19,2.0,2025-01-19 09:39:10,2025-02-03 21:17:54,2025-02-01,2025-02-15,3,800.0,266.67,2,1,1,2025-01-19 09:36:33,2025-07-26 15:31:50,0.5,3,13,1,2025-02-02,2025-12-23,False,0,0,0,,,,2025-01-19 09:36:33,2025-12-23
UCR002219,6,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1,1,0,3,1,1,81.58,2,81.58,1.0,2025-06-16 10:56:11,2025-06-16 10:56:11,2025-06-21,2025-06-21,3,1761.0,587.0,2,1,1,2025-06-16 10:47:12,2025-12-16 17:49:58,0.5,0,0,0,,,,1,1,0,,2025-10-03 03:38:33,2025-10-03 03:38:33,2025-06-16 10:47:12,2025-12-16 17:49:58
UCR002220,8,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,2,4,0,1,66.21,1,66.21,1.0,2025-01-03 13:13:06,2025-01-03 13:13:06,2025-07-12,2025-07-12,4,1815.0,453.75,1,0,0,2025-03-13 01:09:57,2025-06-06 05:01:09,0.0,2,13,3,2025-03-23,2025-10-19,False,0,0,0,,,,2025-01-03 13:13:06,2025-10-19
UCR002221,3,3,CRM | ECOMMERCE | SUPPORT,1,1,0,0,1,1,66.8,1,66.8,1.0,2025-06-05 06:31:32,2025-06-05 06:31:32,2025-08-30,2025-08-30,0,0.0,,0,0,0,,,0.0,0,0,0,,,,1,0,1,9.17,2025-11-15 00:04:15,2025-11-15 00:04:15,2025-06-05 06:31:32,2025-11-15 00:04:15
UCR002222,4,3,CRM | ECOMMERCE | MARKETING,1,2,1,0,0,2,182.34,4,91.17,2.0,2025-05-01 06:09:41,2025-05-18 14:56:07,2025-07-12,2025-12-13,0,0.0,,0,0,0,,,0.0,1,5,1,2025-10-31,2025-10-31,True,0,0,0,,,,2025-05-01 06:09:41,2025-10-31
UCR002223,5,3,CRM | MARKETING | SUPPORT,1,0,1,0,3,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,5,1,2025-11-08,2025-11-08,True,3,1,2,17.95,2025-04-03 16:11:09,2025-09-12 14:29:31,2025-04-03 16:11:09,2025-11-08
UCR002224,4,3,CRM | ECOMMERCE | MARKETING,1,2,1,0,0,2,123.65,2,61.82,2.0,2025-01-03 17:28:58,2025-01-13 20:26:25,2025-01-04,2025-03-01,0,0.0,,0,0,0,,,0.0,1,8,0,2025-10-11,2025-10-11,False,0,0,0,,,,2025-01-03 17:28:58,2025-10-11
UCR002225,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,54.38,2,54.38,1.0,2025-05-31 11:54:02,2025-05-31 11:54:02,2025-10-11,2025-10-11,0,0.0,,0,0,0,,,0.0,1,3,0,2025-05-28,2025-05-28,False,0,0,0,,,,2025-05-28,2025-05-31 11:54:02
UCR002226,8,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,3,1,3,0,3,103.29,3,34.43,3.0,2025-01-09 12:37:47,2025-05-10 19:01:16,2025-01-11,2025-09-13,3,2074.0,691.33,3,1,1,2025-02-01 17:53:56,2025-09-05 21:35:43,0.3333,1,6,1,2025-06-23,2025-06-23,True,0,0,0,,,,2025-01-09 12:37:47,2025-09-05 21:35:43
UCR002227,7,3,CRM | MARKETING | ONLINE,1,0,2,4,0,0,0.0,0,,,,,,,4,3088.0,772.0,0,0,0,2025-03-07 09:57:31,2025-07-02 07:23:30,0.0,2,13,4,2025-10-06,2025-11-28,False,0,0,0,,,,2025-03-07 09:57:31,2025-11-28
UCR002228,12,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,2,7,0,2,206.26,3,103.13,2.0,2025-03-07 19:57:31,2025-07-17 20:56:22,2025-05-24,2025-09-20,7,4864.0,694.86,1,0,0,2025-02-06 14:47:59,2025-10-05 09:31:48,0.0,2,7,2,2025-07-02,2025-10-30,False,0,0,0,,,,2025-02-06 14:47:59,2025-10-30
UCR002229,4,3,CRM | ECOMMERCE | MARKETING,1,1,2,0,0,1,149.36,4,149.36,1.0,2025-05-20 05:31:52,2025-05-20 05:31:52,2025-07-05,2025-07-05,0,0.0,,0,0,0,,,0.0,2,10,0,2025-07-19,2025-10-19,True,0,0,0,,,,2025-05-20 05:31:52,2025-10-19
UCR002230,6,3,CRM | ECOMMERCE | ONLINE,2,1,0,3,0,1,23.33,1,23.33,1.0,2025-12-20 07:46:25,2025-12-20 07:46:25,2025-12-27,2025-12-27,3,3168.0,1056.0,1,0,0,2025-12-26 02:18:06,2025-12-28 15:56:37,0.0,0,0,0,,,,0,0,0,,,,2025-12-20 07:46:25,2025-12-28 15:56:37
UCR002231,6,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,2,1,0,2,2,222.3,4,111.15,2.0,2025-01-20 13:52:08,2025-01-23 01:51:12,2025-01-25,2025-04-12,0,0.0,,0,0,0,,,0.0,1,4,1,2025-04-16,2025-04-16,True,2,0,2,11.77,2025-07-17 03:13:39,2025-12-07 04:56:37,2025-01-20 13:52:08,2025-12-07 04:56:37
UCR002232,2,2,CRM | ECOMMERCE,1,1,0,0,0,1,64.62,3,64.62,1.0,2025-01-22 18:40:44,2025-01-22 18:40:44,2025-04-05,2025-04-05,0,0.0,,0,0,0,,,0.0,0,0,0,,,,0,0,0,,,,2025-01-22 18:40:44,2025-01-22 18:40:44
UCR002233,14,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,3,2,6,2,3,412.99,7,137.66,3.0,2025-01-04 21:07:26,2025-01-15 23:55:27,2025-02-22,2025-07-26,6,2530.0,421.67,2,2,2,2025-01-04 21:05:54,2025-09-12 10:40:28,1.0,2,14,2,2025-05-17,2025-08-09,True,2,0,2,20.84,2025-10-14 11:08:08,2025-11-03 16:14:54,2025-01-04 21:05:54,2025-11-03 16:14:54
UCR002234,6,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,2,1,1,1,68.46,1,68.46,1.0,2025-04-10 13:43:57,2025-04-10 13:43:57,2025-05-24,2025-05-24,1,66.0,66.0,1,1,1,2025-04-10 13:43:33,2025-04-10 13:43:33,1.0,2,3,1,2025-06-21,2025-10-07,True,1,0,1,11.17,2025-05-23 09:36:19,2025-05-23 09:36:19,2025-04-10 13:43:33,2025-10-07
UCR002235,3,2,CRM | MARKETING,1,0,2,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,2,11,3,2025-06-20,2025-10-19,False,0,0,0,,,,2025-06-20,2025-10-19
UCR002236,2,2,CRM | MARKETING,1,0,1,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,7,2,2025-04-08,2025-04-08,True,0,0,0,,,,2025-04-08,2025-04-08
UCR002237,7,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,1,3,0,2,1,51.7,1,51.7,1.0,2025-10-30 06:20:40,2025-10-30 06:20:40,2025-11-15,2025-11-15,0,0.0,,0,0,0,,,0.0,3,20,3,2025-01-05,2025-11-28,False,2,0,2,13.35,2025-04-10 23:54:03,2025-12-11 18:45:10,2025-01-05,2025-12-11 18:45:10
UCR002238,2,2,CRM | MARKETING,1,0,1,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,8,2,2025-03-19,2025-03-19,True,0,0,0,,,,2025-03-19,2025-03-19
UCR002239,6,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,1,1,0,3,1,23.33,1,23.33,1.0,2025-12-26 21:00:48,2025-12-26 21:00:48,2025-12-27,2025-12-27,0,0.0,,0,0,0,,,0.0,1,0,0,2025-12-27,2025-12-27,False,3,0,3,26.11,2025-12-23 12:08:55,2025-12-29 08:40:32,2025-12-23 12:08:55,2025-12-29 08:40:32
UCR002240,6,4,CRM | MARKETING | ONLINE | SUPPORT,1,0,2,1,2,0,0.0,0,,,,,,,1,1124.0,1124.0,0,0,0,2025-12-29 01:26:54,2025-12-29 01:26:54,0.0,2,16,5,2025-12-29,2025-12-29,True,2,1,1,12.48,2025-12-29 06:00:02,2025-12-30 17:17:01,2025-12-29,2025-12-30 17:17:01
UCR002241,11,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,3,1,6,0,3,122.28,3,40.76,3.0,2025-02-08 09:42:12,2025-03-27 19:11:43,2025-04-05,2025-07-12,6,3419.0,569.83,1,1,1,2025-01-23 02:15:28,2025-10-27 18:05:21,1.0,1,4,0,2025-09-24,2025-09-24,False,0,0,0,,,,2025-01-23 02:15:28,2025-10-27 18:05:21
UCR002242,8,3,CRM | MARKETING | ONLINE,1,0,1,6,0,0,0.0,0,,,,,,,6,5350.0,891.67,2,0,0,2025-01-01 11:04:07,2025-09-16 11:27:12,0.0,1,5,2,2025-11-13,2025-11-13,True,0,0,0,,,,2025-01-01 11:04:07,2025-11-13
UCR002243,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,1,2,0,2,160.86,3,80.43,2.0,2025-04-10 02:07:41,2025-07-14 21:03:08,2025-04-12,2025-09-06,2,1220.0,610.0,2,2,2,2025-04-10 02:06:01,2025-07-14 20:52:52,1.0,1,5,1,2025-11-05,2025-11-05,True,0,0,0,,,,2025-04-10 02:06:01,2025-11-05
UCR002244,10,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,2,6,0,1,74.68,2,74.68,1.0,2025-05-15 21:18:02,2025-05-15 21:18:02,2025-07-05,2025-07-05,6,6756.0,1126.0,2,1,1,2025-05-15 21:02:55,2025-12-20 17:58:05,0.5,2,20,6,2025-06-27,2025-08-22,True,0,0,0,,,,2025-05-15 21:02:55,2025-12-20 17:58:05
UCR002245,5,3,CRM | ECOMMERCE | SUPPORT,1,3,0,0,1,3,205.85,4,68.62,3.0,2025-03-08 11:25:38,2025-06-21 05:37:01,2025-03-29,2025-12-27,0,0.0,,0,0,0,,,0.0,0,0,0,,,,1,0,1,21.85,2025-01-21 10:48:08,2025-01-21 10:48:08,2025-01-21 10:48:08,2025-06-21 05:37:01
UCR002246,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,156.26,2,156.26,1.0,2025-10-13 15:36:31,2025-10-13 15:36:31,2025-11-22,2025-11-22,0,0.0,,0,0,0,,,0.0,1,3,0,2025-09-28,2025-09-28,False,0,0,0,,,,2025-09-28,2025-10-13 15:36:31
UCR002247,8,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,2,1,1,3,2,121.7,2,60.85,2.0,2025-01-12 15:44:25,2025-02-05 22:44:53,2025-03-15,2025-05-24,1,1246.0,1246.0,1,1,1,2025-01-12 15:36:14,2025-01-12 15:36:14,1.0,1,4,0,2025-11-22,2025-11-22,True,3,0,3,26.32,2025-08-13 16:26:50,2025-12-16 07:20:30,2025-01-12 15:36:14,2025-12-16 07:20:30
UCR002248,5,3,CRM | ECOMMERCE | MARKETING,1,2,2,0,0,2,228.58,4,114.29,2.0,2025-07-07 09:41:45,2025-07-20 08:13:26,2025-07-26,2025-08-30,0,0.0,,0,0,0,,,0.0,2,19,3,2025-04-04,2025-08-16,True,0,0,0,,,,2025-04-04,2025-08-16
